,gene_id,database,kegg_id
2,BSU_00010,KEGG_pathway,map02020
3,BSU_00010,KEGG_pathway,map04112
10,BSU_00020,KEGG_pathway,map00230
11,BSU_00020,KEGG_pathway,map00240
12,BSU_00020,KEGG_pathway,map01100
13,BSU_00020,KEGG_pathway,map03030
14,BSU_00020,KEGG_pathway,map03430
15,BSU_00020,KEGG_pathway,map03440
16,BSU_00030,KEGG_pathway,-
18,BSU_00040,KEGG_pathway,map03440
19,BSU_00050,KEGG_pathway,-
20,BSU_00060,KEGG_pathway,-
21,BSU_00070,KEGG_pathway,-
22,BSU_00080,KEGG_pathway,-
27,BSU_00090,KEGG_pathway,map00230
28,BSU_00090,KEGG_pathway,map00983
29,BSU_00090,KEGG_pathway,map01100
30,BSU_00090,KEGG_pathway,map01110
33,BSU_00100,KEGG_pathway,map00550
34,BSU_00100,KEGG_pathway,map01100
36,BSU_00110,KEGG_pathway,map00750
38,BSU_00120,KEGG_pathway,map00750
40,BSU_00130,KEGG_pathway,map00970
44,BSU_00140,KEGG_pathway,map00230
45,BSU_00140,KEGG_pathway,map00240
46,BSU_00140,KEGG_pathway,map01100
50,BSU_00150,KEGG_pathway,map00230
51,BSU_00150,KEGG_pathway,map00240
52,BSU_00150,KEGG_pathway,map01100
53,BSU_00160,KEGG_pathway,-
54,BSU_00170,KEGG_pathway,-
59,BSU_00180,KEGG_pathway,map00230
60,BSU_00180,KEGG_pathway,map00240
61,BSU_00180,KEGG_pathway,map00330
62,BSU_00180,KEGG_pathway,map01100
69,BSU_00190,KEGG_pathway,map00230
70,BSU_00190,KEGG_pathway,map00240
71,BSU_00190,KEGG_pathway,map01100
72,BSU_00190,KEGG_pathway,map03030
73,BSU_00190,KEGG_pathway,map03430
74,BSU_00190,KEGG_pathway,map03440
75,BSU_00200,KEGG_pathway,-
77,BSU_00210,KEGG_pathway,map03440
78,BSU_00220,KEGG_pathway,-
79,BSU_00230,KEGG_pathway,-
80,BSU_00240,KEGG_pathway,-
81,BSU_00250,KEGG_pathway,-
82,BSU_00260,KEGG_pathway,-
