,imodulon,annotation,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,source,kegg_id,pathway_name,module_name,value
0,S-box,L-methionine salvage from methylthioadenosine,2.7056942565457308e-05,0.014436291120006335,0.08695652173913043,1.0,0.16,2.0,2.0,23.0,GO,,,,
1,S-box,L-serine biosynthetic process,8.090795663734535e-05,0.014436291120006335,0.08695652173913043,0.6666666666666666,0.15384615384615383,2.0,3.0,23.0,GO,,,,
2,S-box,carbon-sulfur lyase activity,8.090795663734535e-05,0.014436291120006335,0.08695652173913043,0.6666666666666666,0.15384615384615383,2.0,3.0,23.0,GO,,,,
3,S-box,cystathionine gamma-lyase activity,8.090795663734535e-05,0.014436291120006335,0.08695652173913043,0.6666666666666666,0.15384615384615383,2.0,4.0,23.0,GO,,,,
4,S-box,cysteine biosynthetic process via cystathionine,8.090795663734535e-05,0.014436291120006335,0.08695652173913043,0.6666666666666666,0.15384615384615383,2.0,3.0,23.0,GO,,,,
5,S-box,phosphoglycerate dehydrogenase activity,2.7056942565457308e-05,0.014436291120006335,0.08695652173913043,1.0,0.16,2.0,2.0,23.0,GO,,,,
6,S-box,transsulfuration,8.090795663734535e-05,0.014436291120006335,0.08695652173913043,0.6666666666666666,0.15384615384615383,2.0,3.0,23.0,GO,,,,
7,S-box,pyridoxal phosphate binding,0.0001412405958995685,0.022051188034820136,0.13043478260869565,0.15,0.13953488372093023,3.0,21.0,23.0,GO,,,,
8,WalR,glycine betaine transport,1.201762250665126e-06,0.0015010010510807426,0.16666666666666666,0.5,0.25,3.0,6.0,18.0,GO,,,,
9,Rex,cytochrome complex,6.732304451892129e-06,0.00840864826041327,0.2857142857142857,0.6666666666666666,0.4,2.0,3.0,7.0,GO,,,,
10,Rex,aerobic electron transport chain,4.69809211985011e-05,0.019559723525642628,0.2857142857142857,0.2857142857142857,0.2857142857142857,2.0,7.0,7.0,GO,,,,
11,Rex,"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor",4.69809211985011e-05,0.019559723525642628,0.2857142857142857,0.2857142857142857,0.2857142857142857,2.0,7.0,7.0,GO,,,,
