Geneid,SRX7255900,SRX7255906,SRX7255905,SRX7255902,SRX7255887,SRX7255895,SRX7255891,SRX7255892,SRX7255916,SRX7255889,SRX7255917,SRX7255909,SRX7255913,SRX7255888,SRX7255897,SRX7255908,SRX7255912,SRX7255911,SRX7255914,SRX7255894,SRX7255904,SRX7255910,SRX7255907,SRX7255893,SRX7255901,SRX7255915,SRX7255890,SRX7255898,SRX7255899,SRX7255903,SRX7255896
BSU_00010,4550,1849,2225,2971,334,2699,7212,5912,856,456,4,881,63,286,2807,1577,94,1494,248,2792,2128,1293,2848,2590,4323,828,7164,4626,5035,2404,4400
BSU_00020,2869,1240,1473,2407,886,1747,5492,4838,575,887,20,672,55,620,2035,1165,78,1160,361,1947,1650,1066,2025,1873,2973,591,5744,3275,3501,1787,3178
BSU_00030,1115,571,745,762,85,1024,2288,1752,265,119,0,375,31,79,912,610,34,673,86,976,636,549,973,696,1239,292,2041,1452,1255,761,1576
BSU_00040,9757,6594,8788,8696,9977,5697,14661,10636,5699,11514,3,6195,1338,8309,6067,9487,1190,9153,2361,5700,5913,7044,10631,4983,9338,7444,12237,10257,10480,7036,9326
BSU_00050,1264,1051,1305,1214,1760,632,1530,1199,694,1926,0,680,38,1407,764,1231,54,1338,228,721,767,797,1556,499,1172,993,1352,1258,1498,1033,1181
BSU_00060,15377,9753,14010,14343,25982,10060,20759,16340,7940,31075,1,8920,1423,20479,8979,14213,1388,14999,3662,10703,9394,11081,16018,10174,14836,10432,18358,15332,17704,11245,14328
BSU_00070,25873,14656,21233,21784,23553,16799,35708,27960,9273,27850,1,10914,1265,17805,17953,17348,1156,20562,3722,17203,13541,14340,24775,15464,24078,10909,31479,28410,27630,16082,28156
BSU_00080,283,412,360,610,85,17,60,45,756,204,3,316,5,103,27,296,42,932,125,14,583,325,534,13,212,178,47,45,265,747,56
BSU_00090,9995,4632,5422,7863,29782,12055,15554,13432,2598,31393,84,5579,608,19661,7277,10977,1154,4645,2155,12815,5280,6997,7342,14959,10272,2821,14231,11889,12684,6038,11633
BSU_00100,7579,2674,3700,4057,1337,5998,19810,15222,1372,1459,55,1266,73,1025,6651,2513,134,2509,611,6113,2658,2109,4722,4379,7592,1169,16937,10840,8566,3379,9882
BSU_00110,12479,4899,6282,7523,1142,10941,31337,23339,2686,1312,1,2648,393,976,12986,5673,391,4836,1116,11351,5033,3646,7904,11127,12348,3008,25750,22306,15389,5598,20665
BSU_00120,8464,3269,4328,5615,1199,8998,23587,17505,1736,1401,2,1882,248,1143,9449,3752,178,2912,619,8101,3671,2651,5663,9243,8437,1852,19408,15855,10570,3849,14721
BSU_00130,4124,1875,2586,3219,5223,6102,11029,9033,1001,6676,0,1306,154,3780,3976,2251,116,1856,572,6968,2213,1757,3079,8156,3919,1057,9572,6324,4925,2382,5724
BSU_00140,1906,1228,1556,1499,72,1074,3269,2722,379,101,2,675,21,68,1537,1257,28,1491,104,1367,1032,833,2002,932,1785,473,2921,2548,2163,1237,2538
BSU_00150,1704,1185,1521,1306,35,1156,2789,2330,405,63,0,687,24,26,1495,1155,40,1418,124,1197,967,953,1867,917,1754,545,2490,2334,2020,1161,2227
BSU_00160,7851,13910,15167,17416,885,69,69,41,6280,996,4,12331,1659,886,36,17369,1741,25978,2550,68,14182,12097,20906,128,7214,3314,115,25,7744,19227,34
BSU_00170,1528,1519,1290,1961,727,92,79,54,5122,698,0,1319,170,682,26,1220,236,4722,1764,105,2142,1412,2089,158,959,1934,143,17,1435,2673,32
BSU_00180,826,465,556,658,57,378,1188,802,294,76,0,417,75,61,434,634,77,514,92,384,518,377,763,291,844,208,907,826,955,651,701
BSU_00190,4088,2864,3468,4102,748,2437,6377,4747,1451,917,4,1949,338,618,2565,3013,361,4475,592,2676,2924,2378,4587,1935,3852,1762,5184,3957,4339,3788,3994
BSU_00200,3093,1105,1196,1884,425,1470,2626,1936,479,499,0,488,16,374,1855,1065,14,1085,67,1455,1421,774,1694,1121,2510,356,2327,1981,2870,1700,2898
BSU_00210,1474,1195,1411,1547,289,685,2076,1625,439,401,0,805,78,253,734,1063,95,1750,144,856,1172,1031,1953,714,1309,350,1877,1138,1577,1531,1019
BSU_00220,807,734,913,1008,177,348,1143,784,158,209,0,438,18,134,371,491,26,959,35,376,698,479,1201,330,719,168,949,615,845,931,596
BSU_00230,493,527,546,902,21,70,208,163,100,46,0,399,19,21,94,276,13,477,18,89,596,419,682,46,613,67,165,112,665,952,108
BSU_00240,636,633,535,814,48,29,216,155,60,131,0,362,0,54,82,299,2,148,9,41,713,380,826,9,572,50,147,69,441,918,104
BSU_00250,2613,1413,1684,2364,1970,1027,1767,1316,932,1546,1,1610,56,2150,1557,2667,60,1605,209,1098,2008,1630,2098,946,2736,637,1573,1864,2947,2614,2376
BSU_00260,3952,2332,2897,3622,3709,1837,2868,2143,1347,2941,2,2626,79,3851,1707,4496,85,3184,273,2004,2891,2599,3478,2235,3802,1163,2527,2435,4334,3764,2712
BSU_00270,4122,2082,2711,3639,3263,2014,5232,3914,1735,3036,1,2041,314,3408,2793,3255,262,3366,653,2196,2699,2288,3450,1907,4185,1924,4410,3929,4538,3324,4171
BSU_00280,1527,1316,1365,1387,759,555,1310,1047,3500,715,0,1057,160,779,597,1206,148,2762,975,575,1213,1217,1843,576,1354,1458,1198,947,1852,1515,863
BSU_00290,2434,1479,1792,1840,407,1139,1886,1593,2495,373,0,1342,84,430,880,1689,137,2379,677,1173,1485,1532,2251,1235,1949,1230,1954,1286,2367,2072,1344
BSU_00300,2212,1441,1766,1739,1108,1312,1956,1531,2325,1247,0,1312,43,845,927,1657,50,2707,535,1583,1495,1429,2188,1514,1856,1074,1862,1346,2449,1903,1449
BSU_00310,4735,2731,3092,3762,1108,2640,5116,3998,4202,1085,0,2361,347,990,2563,3589,328,5047,1665,2938,3247,2686,4372,3039,4181,2881,4640,3746,5133,3940,4104
BSU_00320,4494,2624,3042,3682,1615,2598,6376,4744,2879,1656,0,2213,408,1407,2723,3858,357,4198,1234,2904,2828,2640,4205,2860,4281,2566,5642,4330,5335,3666,4310
BSU_00330,1813,987,1169,1259,984,1203,2868,2234,807,996,0,712,52,775,1339,1225,61,1544,291,1377,1062,881,1512,1300,1833,708,2463,1856,2205,1370,2037
BSU_00340,582,280,385,341,215,305,930,735,224,220,0,221,23,188,315,338,27,553,92,307,288,294,531,307,477,231,921,515,604,311,550
BSU_00350,198,109,128,132,67,122,339,284,56,68,0,63,2,43,108,136,7,149,13,117,89,113,186,96,175,43,324,217,218,107,196
BSU_00360,990,430,614,667,389,528,1362,1081,317,445,2,424,42,288,485,611,42,748,130,512,502,518,782,507,876,300,1243,824,1088,588,794
BSU_00370,10236,3944,4637,5875,1457,9451,30674,25098,4607,1154,7,1210,51,1273,10267,2052,83,5284,749,10891,4780,1739,6578,5465,10577,2509,24569,14933,13056,6444,17550
BSU_00380,7549,3873,4729,7077,2862,6102,12822,10312,1411,3309,5,2764,128,1893,5079,5011,146,4002,396,6410,5321,3467,6265,6672,7309,1289,11354,8157,8786,6293,8119
BSU_00390,674,311,337,497,208,405,761,656,110,391,2,184,13,155,468,277,49,276,52,520,379,250,470,446,548,78,727,664,712,428,578
BSU_00400,21681,24853,29073,40047,754,3960,25399,16692,4141,944,53,15420,439,665,7341,20778,742,24625,1280,3589,27015,17742,38453,2497,22249,3851,15522,12102,23698,36514,12727
BSU_00410,892,926,1064,1045,158,484,1687,1346,447,236,0,554,42,106,629,836,62,1197,182,527,815,717,1402,470,821,310,1498,954,1029,938,918
BSU_00420,1886,1783,2239,2049,1031,923,3673,2858,871,1498,0,1240,156,870,1203,1586,137,2553,403,994,1438,1451,2834,832,1730,780,3157,1955,2062,1911,1886
BSU_00430,5811,15383,19038,11134,92,42,121,79,851,238,0,14974,661,86,62,10109,673,11319,345,69,8194,11843,26582,36,6790,775,104,79,6567,13430,81
BSU_00440,71015,22059,28087,25574,5948,56306,25215,17320,17602,5388,1,7525,638,5535,55519,25742,549,8764,3866,62781,16171,10778,31028,21286,68308,11630,23318,71711,68269,21827,84226
BSU_00450,2400,1535,2680,1895,39,244,180,123,163428,63,28,1429,24375,31,326,1322,11057,3978,354232,290,1385,1675,2606,145,2108,262745,167,593,1780,1607,404
BSU_00460,2334,1259,1623,1424,1049,1610,4238,3031,665,1303,0,883,190,805,1381,1744,440,1440,297,1635,1111,1148,2140,1622,2038,700,3680,2087,2691,1406,2080
BSU_00470,6589,3285,4223,4502,3028,4295,12603,9375,1631,3995,13,2274,218,2457,5226,4600,559,3243,711,4985,3243,2820,5666,4063,6657,1547,10517,8784,8163,3616,8515
BSU_00480,5762,2729,3718,4602,2247,3637,8657,6350,1388,2776,12,1969,122,1732,4049,4153,778,3024,662,3485,3342,2558,4509,3370,5417,1498,7450,6608,6528,3691,6532
BSU_00490,118168,23569,34088,84700,43599,73948,70219,46738,18725,54961,1,33309,2247,33933,66829,87189,1811,12796,4574,82245,48849,42029,33363,52874,120049,14760,59423,130108,133791,60360,122083
BSU_00500,8564,4173,5484,8053,1266,4911,13501,11428,1848,1799,4,4993,236,1122,4632,8547,276,4291,582,5193,5400,5975,6182,5042,7663,2041,12919,7210,8779,6253,6948
BSU_00510,5740,2850,3720,5772,929,3028,8207,7316,1330,1140,0,3467,275,857,3137,5298,225,2889,434,3410,3887,4036,4361,3131,5417,1262,8511,4911,6210,4153,4714
BSU_00520,60638,70017,76487,119853,183121,44490,11073,8705,162854,198481,2,66895,24695,180013,12140,70142,18123,96089,74191,37847,89474,78914,91441,63559,46261,88649,12852,13440,66969,111767,15540
BSU_00530,5871,7150,9221,14273,2470,1735,2730,2071,5303,2435,1,9176,434,2338,1396,6981,408,5202,1384,1674,9932,9963,8914,1805,4672,2659,2580,2099,5972,12138,1949
BSU_00540,2893,3827,4697,6819,596,628,1088,880,1719,565,0,3567,107,623,508,3385,141,2682,367,705,5108,4098,4923,652,2712,717,1051,814,3139,6653,731
BSU_00550,10610,10171,12275,15366,6679,6656,9448,7758,7436,7827,2,8625,2128,5923,3746,10021,1768,12648,2749,6721,14981,10118,13941,8168,8970,5484,9703,6023,10830,18036,5428
BSU_00560,3238,6279,7416,6285,382,954,2162,1606,1186,514,0,4408,199,386,682,4853,166,4675,364,1067,5344,4625,9559,1146,3270,887,1945,1230,3753,7781,991
BSU_00570,662,338,364,307,53,295,926,722,206,116,0,165,55,47,250,235,78,538,107,357,326,233,539,274,460,164,987,425,720,445,354
BSU_00580,1861,864,1010,1118,409,1550,3909,3149,562,482,0,520,100,312,1407,963,115,1400,240,1807,928,842,1476,1685,1495,532,3801,2307,1954,1158,2066
BSU_00590,480,290,333,387,204,635,1239,847,151,276,0,171,14,158,463,302,10,433,75,711,288,248,444,746,427,144,1114,663,609,420,609
BSU_00600,1583,1871,2216,2069,236,840,1234,947,349,352,2,1103,66,200,485,1699,119,2488,84,926,1732,1231,2940,1009,1327,256,1205,799,1550,2387,652
BSU_00610,2465,2876,3201,4039,407,1178,2578,1993,2990,466,1,2082,311,316,896,2788,372,5051,1127,1461,3208,2330,4226,1249,2270,1473,2421,1423,2847,4211,1301
BSU_00620,8107,4824,5735,8555,2563,4273,8677,6092,3941,2380,0,5709,238,1973,3559,8407,462,5309,688,4186,6135,6267,6552,3728,7289,2212,7345,5368,8741,8139,5949
