Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
DRX131730	17254030	15050452	13378	994799	0	0	0	0	6511	0	0	0	0	650629	485135	53126	87.22861847348128	17254030.0	16259231.0	94.23	994799.0	5.77	DRX131730_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17254030.0	0.0	20-150	45.0	15.993946541390452	148.7161131631277	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		17265981	6485493	17265981	2589897150	11823711	2565836939	0.9290025667621588	0.0088	0.5331	0.4582		
DRX131731	15840920	11831734	41634	3059176	0	0	0	0	3455	0	0	0	0	551424	315672	37825	74.69095229317489	15840920.0	12781744.0	80.69	3059176.0	19.31	DRX131731_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15840920.0	0.0	20-150	46.0	18.711096398151746	148.43249337790988	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass		15848335	5126384	15848335	2377250250	3015792	2360518974	0.7038079394460048	0.0108	0.5914	0.3978		
ERX1295610	15776580	11520030	3444	1427811	0	0	0	0	11498	0	0	0	0	2316069	349621	148107	73.0198179833652	15776580.0	14348769.0	90.95	1427811.0	9.05	ERX1295610_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15776580.0	0.0	20-76	45.0	23.44096110018637	75.19909283254039	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	warn	15837864	5119943	15837864	1203677664	1176301	1192913281	0.8942911646485451	0.0886	0.5617	0.3497		
ERX1295611	16743301	10615432	4415	2134104	0	0	0	0	8049	0	0	0	0	3546296	289935	145070	63.4010700757276	16743301.0	14609197.0	87.25	2134104.0	12.75	ERX1295611_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16743301.0	0.0	20-76	46.0	24.68903934558024	75.18323226704221	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	warn	16842354	5908901	16842354	1280018904	4777145	1262815323	1.344009916278549	0.1505	0.5135	0.3359		
ERX1295612	17565464	11281267	17083	2743430	0	0	0	0	8342	0	0	0	0	3015849	345183	154310	64.22413321959499	17565464.0	14822034.0	84.38	2743430.0	15.62	ERX1295612_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17565464.0	0.0	20-76	44.0	23.486626431915035	75.09840491546366	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	pass	17671849	6439149	17671849	1343060524	3799676	1325011407	1.343879644846147	0.1244	0.5233	0.3523		
ERX1295613	22515954	13830502	5133	3503248	0	0	0	0	13957	0	0	0	0	4547781	387860	227473	61.42534311448672	22515954.0	19012706.0	84.44	3503248.0	15.56	ERX1295613_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22515954.0	0.0	20-76	45.0	23.486572787953488	75.08566992098136	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	pass	22638527	8098126	22638527	1720528052	5814902	1698088892	1.3042019264908795	0.1508	0.5128	0.3364		
ERX1295614	15477986	9949405	10656	1854663	0	0	0	0	10483	0	0	0	0	3258512	261320	132947	64.28100529358278	15477986.0	13623323.0	88.02	1854663.0	11.98	ERX1295614_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15477986.0	0.0	20-76	45.0	22.475299378736054	75.1037379152559	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	15590539	5115537	15590539	1184880964	1385380	1170389838	1.2230026846814968	0.1425	0.5052	0.3523		
ERX1295615	24104770	15722255	46156	2707652	0	0	0	0	19069	0	0	0	0	4923888	432639	253111	65.224663002385	24104770.0	21397118.0	88.77	2707652.0	11.23	ERX1295615_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24104770.0	0.0	20-76	45.0	19.818459415060058	75.09666526583744	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	pass	24185252	8550058	24185252	1838079152	4424551	1817858889	1.100075749077426	0.1397	0.5121	0.3481		
ERX1295616	13738403	7991885	2601	3164065	0	0	0	0	1880	0	0	0	0	2339631	163768	74573	58.171863207099115	13738403.0	10574338.0	76.97	3164065.0	23.03	ERX1295616_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13738403.0	0.0	20-76	45.0	22.381771660476037	75.21235415790322	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	warn	13754184	4900424	13754184	1045317984	1849214	1036555233	0.8382856828377308	0.1254	0.4887	0.3859		
ERX1295617	23171071	12858050	10335	5908241	0	0	0	0	12374	0	0	0	0	3841543	351010	189518	55.49182426656066	23171071.0	17262830.0	74.5	5908241.0	25.5	ERX1295617_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23171071.0	0.0	20-76	45.0	20.77907740651885	75.19024148689546	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	warn	23231093	7552341	23231093	1765563068	1752931	1751017758	0.8238340653827043	0.1312	0.496	0.3728		
