regulator,gene_id,effect
PerR,BSU08820,repression
PerR,BSU32990,repression
PerR,BSU03510,activation
PerR,BSU11500,repression
PerR,BSU03520,activation
PerR,BSU28120,repression
PerR,BSU28170,repression
PerR,BSU03480,activation
PerR,BSU17370,transcription repression
PerR,BSU03490,activation
PerR,BSU23520,repression
PerR,BSU03500,activation
PerR,BSU13850,repression
PerR,BSU17380,transcription repression
PerR,BSU11490,repression
PerR,BSU40100,repression
PerR,BSU17390,transcription repression
PerR,BSU08730,repression
PerR,BSU40090,repression
PerR,BSU17400,transcription repression
PerR,BSU28150,repression
PerR,BSU28160,repression
PerR,BSU28140,repression
PerR,BSU28130,repression
SpoVT,BSU23410,activation
SpoVT,BSU23380,activation
SpoVT,BSU13380,repression
SpoVT,BSU24230,activation
SpoVT,BSU03720,repression
SpoVT,BSU33060,repression
SpoVT,BSU23930,repression
SpoVT,BSU23430,activation
SpoVT,BSU08660,repression
SpoVT,BSU23401,activation
SpoVT,BSU33050,repression
SpoVT,BSU23440,activation
SpoVT,BSU09750,activation
SpoVT,BSU23390,activation
SpoVT,BSU25540,repression
SpoVT,BSU13410,activation
SpoVT,BSU03710,repression
SpoVT,BSU08650,repression
SpoVT,BSU02080,repression
SpoVT,BSU13400,activation
SpoVT,BSU23420,activation
SpoVT,BSU23402,activation
SpoVT,BSU16799,repression
SpoVT,BSU16790,repression
SpoVT,BSU13470,activation
SpoVT,BSU03700,repression
SpoVT,BSU25530,repression
SpoVT,BSU15440,activation
SpoVT,BSU13390,repression
SpoVT,BSU02070,repression
SpoVT,BSU03930,repression
SpoVT,BSU30840,activation
SpoVT,BSU33070,repression
SpoVT,BSU23940,repression
SpoVT,BSU03920,repression
SpoVT,BSU29570,activation
SigM,BSU02910,sigma factor
SigM,BSU11500,sigma factor
SigM,BSU14480,sigma factor
SigM,BSU00580,sigma factor
SigM,BSU00900,sigma factor
SigM,BSU38500,sigma factor
SigM,BSU00720,sigma factor
SigM,BSU00630,sigma factor
SigM,BSU23370,sigma factor
SigM,BSU18170,sigma factor
SigM,BSU00680,sigma factor
SigM,BSU28030,sigma factor
SigM,BSU27180,sigma factor
SigM,BSU38510,sigma factor
SigM,BSU36380,sigma factor
SigM,BSU38480,sigma factor
SigM,BSU23830,sigma factor
SigM,BSU04230,sigma factor
SigM,BSU35650,sigma factor
SigM,BSU00690,sigma factor
SigM,BSU00700,sigma factor
SigM,BSU00670,sigma factor
SigM,BSU00890,sigma factor
SigM,BSU27160,sigma factor
SigM,BSU28000,sigma factor
SigM,BSU00840,sigma factor
SigM,BSU23300,sigma factor
SigM,BSU00610,sigma factor
SigM,BSU04560,sigma factor
SigM,BSU35850,sigma factor
SigM,BSU27990,sigma factor
SigM,BSU18190,sigma factor
SigM,BSU09510,sigma factor
SigM,BSU09520,sigma factor
SigM,BSU04570,sigma factor
SigM,BSU28020,sigma factor
SigM,BSU03240,sigma factor
SigM,BSU22310,sigma factor
SigM,BSU15260,sigma factor
SigM,BSU35840,sigma factor
SigM,BSU38260,sigma factor
SigM,BSU36540,sigma factor
SigM,BSU28010,sigma factor
SigM,BSU27660,sigma factor
SigM,BSU00830,sigma factor
SigM,BSU09500,sigma factor
SigM,BSU27170,sigma factor
SigM,BSU15240,sigma factor
SigM,BSU02920,sigma factor
SigM,BSU28050,sigma factor
SigM,BSU02890,sigma factor
SigM,BSU00730,sigma factor
SigM,BSU00850,sigma factor
SigM,BSU02930,sigma factor
SigM,BSU00590,sigma factor
SigM,BSU00860,sigma factor
SigM,BSU00570,sigma factor
SigM,BSU15230,sigma factor
SigM,BSU22980,sigma factor
SigM,BSU28040,sigma factor
SigM,BSU00870,sigma factor
SigM,BSU22320,sigma factor
SigM,BSU00620,sigma factor
SigM,BSU27020,sigma factor
SigM,BSU38120,sigma factor
SigM,BSU15270,sigma factor
SigM,BSU38530,sigma factor
SigM,BSU11490,sigma factor
SigM,BSU15220,sigma factor
SigM,BSU07260,sigma factor
SigM,BSU00910,sigma factor
SigM,BSU00710,sigma factor
SigM,BSU38280,sigma factor
SigM,BSU00880,sigma factor
SigM,BSU02940,sigma factor
SigM,BSU03250,sigma factor
SigM,BSU38520,sigma factor
SigM,BSU00600,sigma factor
SigM,BSU38540,sigma factor
SigM,BSU36530,sigma factor
SigM,BSU15250,sigma factor
SigM,BSU18180,sigma factor
SigM,BSU38250,sigma factor
SigM,BSU30500,sigma factor
SigM,BSU21920,sigma factor
SigM,BSU38499,sigma factor
SigM,BSU27650,sigma factor
SigM,BSU16950,sigma factor
SigM,BSU30510,sigma factor
SigM,BSU21910,sigma factor
SigM,BSU02900,sigma factor
SigM,BSU06380,sigma factor
SigM,BSU38270,sigma factor
ComK,BSU28000,activation
ComK,BSU10660,activation
ComK,BSU33480,activation
ComK,BSU24670,activation
ComK,BSU10450,activation
ComK,BSU40920,activation
ComK,BSU24710,activation
ComK,BSU35400,activation
ComK,BSU25590,activation
ComK,BSU10460,activation
ComK,BSU33280,activation
ComK,BSU35460,activation
ComK,BSU33470,activation
ComK,BSU25580,activation
ComK,BSU40900,activation
ComK,BSU27990,activation
ComK,BSU03420,activation
ComK,BSU06830,activation
ComK,BSU33260,activation
ComK,BSU14020,repression
ComK,BSU10630,activation
ComK,BSU41020,activation
ComK,BSU36310,activation
ComK,BSU24680,activation
ComK,BSU35410,activation
ComK,BSU35420,activation
ComK,BSU28020,activation
ComK,BSU40910,activation
ComK,BSU24730,activation
ComK,BSU24720,activation
ComK,BSU40890,activation
ComK,BSU35470,activation
ComK,BSU28010,activation
ComK,BSU35440,activation
ComK,BSU10420,activation
ComK,BSU35380,activation
ComK,BSU28050,activation
ComK,BSU10650,activation
ComK,BSU24700,activation
ComK,BSU41010,activation
ComK,BSU03430,activation
ComK,BSU33270,activation
ComK,BSU41000,activation
ComK,BSU28040,activation
ComK,BSU06839,activation
ComK,BSU02010,positive regulation
ComK,BSU40990,activation
ComK,BSU35430,activation
ComK,BSU35370,activation
ComK,BSU25570,activation
ComK,BSU24660,activation
ComK,BSU24690,activation
ComK,BSU28030,activation
ComK,BSU10620,activation
ComK,BSU35450,activation
ComK,BSU28070,activation
ComK,BSU16940,activation
ComK,BSU35390,activation
ComK,BSU10640,activation
SwrAA;2,BSU02780,activation
PchR,BSU35090,repression
PchR,BSU10730,activation
PchR,BSU35080,repression
PchR,BSU35060,repression
PchR,BSU35070,repression
GerR,BSU36060,activation
GerR,BSU11750,activation
GerR,BSU11760,activation
GerR,BSU36070,activation
GerR,BSU11740,activation
GerR,BSU11810,activation
GerR,BSU17670,repression
GerR,BSU36050,activation
GerR,BSU19790,activation
GerR,BSU36040,activation
GerR,BSU19780,activation
AdaA,BSU01800,positive regulation
AdaA,BSU01820,positive regulation
AdaA,BSU01810,positive regulation
SigL,BSU08080,sigma factor
SigL,BSU24030,sigma factor
SigL,BSU40320,sigma factor
SigL,BSU24080,sigma factor
SigL,BSU24050,sigma factor
SigL,BSU27070,sigma factor
SigL,BSU08070,sigma factor
SigL,BSU37780,sigma factor
SigL,BSU08060,sigma factor
SigL,BSU27030,sigma factor
SigL,BSU27050,sigma factor
SigL,BSU24040,sigma factor
SigL,BSU27060,sigma factor
SigL,BSU37770,sigma factor
SigL,BSU40330,sigma factor
SigL,BSU24090,sigma factor
SigL,BSU27040,sigma factor
SigL,BSU40340,sigma factor
SigL,BSU24060,sigma factor
SigL,BSU37790,sigma factor
SigL,BSU24070,sigma factor
SigL,BSU08090,sigma factor
SigL,BSU37760,sigma factor
MurR,BSU01680,repression
MurR,BSU01690,repression
MurR,BSU01660,repression
MurR,BSU01700,repression
MurR,BSU01670,repression
MurR,BSU01650,repression
CitT,BSU07620,activation
CitT,BSU07610,activation
AnsR,BSU23580,repression
AnsR,BSU23590,negative autoregulation
AnsR,BSU23560,repression
AnsR,BSU23570,repression
AnsR,BSU23550,repression
Rok,BSU37400,repression
Rok,BSU37410,repression
Rok,BSU40180,repression
Rok,BSU37370,repression
Rok,BSU39950,repression
Rok,BSU40610,repression
Rok,BSU37360,repression
Rok,BSU37420,repression
Rok,BSU10420,repression
Rok,BSU11920,repression
Rok,BSU40600,repression
Rok,BSU39940,repression
Rok,BSU37380,repression
Rok,BSU13490,repression
