	ReleaseDate	TaxID	ScientificName	species_tax_id	class_tax_id	strain_tax_id	species	LibraryLayout	Platform	Model	Run	SRAStudy	BioProject	ProjectID	Sample	BioSample	Submission	LibraryStrategy	LibrarySelection	LibrarySource	Body_Site	CenterName	InsertSize	InsertDev	SRA ID	Biosample	GEO Series	GEO Sample	PMID	biosample_strain	biosample_genotype	R1	R2	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation	project	condition	reference_condition	strain_description	base_media	carbon_source	treatment	temperature	pH	OD	growth_phase	notes	skip
DRX131730	2018-09-25 19:19:17	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 4000	DRR139003	DRP004477	PRJDB7101	493212	DRS075645	SAMD00127371	DRA006972	RNA-Seq	cDNA	TRANSCRIPTOMIC		TUAGRI	200	50	6421815	10128017			27965645	168	wild-type			TRUE	TRUE	TRUE	ylxR	wt	wt	168	DSM	glucose(2%)			7		mid-exponential		
DRX131731	2018-09-25 19:19:17	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 4000	DRR139004	DRP004477	PRJDB7101	493212	DRS075646	SAMD00127372	DRA006972	RNA-Seq	cDNA	TRANSCRIPTOMIC		TUAGRI	200	50	6421816	10128018			27965645	168	YlxR mutant			TRUE	TRUE	TRUE	ylxR	del_ylxR	wt	168 del_ylxR	DSM	glucose(2%)			7		mid-exponential		
ERX1295610	2016-10-05 10:52:19	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1223403	ERP013907	PRJEB12430	345451	ERS1037127	SAMEA3729978	ERA556125	RNA-Seq	unspecified	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	210	0	3248371	5863832			27489274	168				TRUE	TRUE	TRUE												No metadata	TRUE
ERX1295611	2016-10-05 10:52:19	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1223404	ERP013907	PRJEB12430	345451	ERS1037128	SAMEA3729979	ERA556125	RNA-Seq	unspecified	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	210	0	3248372	5863833			27489274	168				TRUE	TRUE	TRUE												No metadata	TRUE
ERX1295612	2016-10-05 10:52:19	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1223405	ERP013907	PRJEB12430	345451	ERS1037129	SAMEA3729980	ERA556125	RNA-Seq	unspecified	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	210	0	3248373	5863834			27489274	168				TRUE	TRUE	TRUE												No metadata	TRUE
ERX1295613	2016-10-05 10:52:19	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1223406	ERP013907	PRJEB12430	345451	ERS1037130	SAMEA3729981	ERA556125	RNA-Seq	unspecified	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	210	0	3248374	5863835			27489274	168				TRUE	TRUE	TRUE												No metadata	TRUE
ERX1295614	2016-10-05 10:52:19	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1223407	ERP013907	PRJEB12430	345451	ERS1037131	SAMEA3729982	ERA556125	RNA-Seq	unspecified	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	210	0	3248375	5863836			27489274	168				TRUE	TRUE	TRUE												No metadata	TRUE
ERX1295615	2016-10-05 10:52:19	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1223408	ERP013907	PRJEB12430	345451	ERS1037132	SAMEA3729983	ERA556125	RNA-Seq	unspecified	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	210	0	3248376	5863837			27489274	168				TRUE	TRUE	TRUE												No metadata	TRUE
ERX1295616	2016-10-05 10:52:19	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1223409	ERP013907	PRJEB12430	345451	ERS1037133	SAMEA3729984	ERA556125	RNA-Seq	unspecified	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	210	0	3248377	5863838			27489274	168				TRUE	TRUE	TRUE												No metadata	TRUE
ERX1295617	2016-10-05 10:52:19	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1223410	ERP013907	PRJEB12430	345451	ERS1037134	SAMEA3729985	ERA556125	RNA-Seq	unspecified	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	210	0	3248378	5863839			27489274	168				TRUE	TRUE	TRUE												No metadata	TRUE
ERX1320302	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248364	ERP014057	PRJEB12568	316580	ERS1051956	SAMEA3864822	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0	2396919	4591397				168				TRUE	TRUE	TRUE												Term-seq	TRUE
ERX1320305	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248367	ERP014057	PRJEB12568	316580	ERS1051959	SAMEA3864825	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0	2396922	4591400				168				TRUE	TRUE	TRUE												Term-seq	TRUE
ERX1320306	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248368	ERP014057	PRJEB12568	316580	ERS1051960	SAMEA3864826	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0	2396923	4591401				168				TRUE	TRUE	TRUE												Term-seq	TRUE
ERX1320307	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248369	ERP014057	PRJEB12568	316580	ERS1051961	SAMEA3864827	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0	2396924	4591402				168				TRUE	TRUE	TRUE												Term-seq	TRUE
ERX1320331	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248393	ERP014057	PRJEB12568	316580	ERS1051985	SAMEA3864851	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0	2396948	4591426				168				TRUE	TRUE	TRUE												Term-seq	TRUE
ERX1320332	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248394	ERP014057	PRJEB12568	316580	ERS1051986	SAMEA3864852	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0	2396949	4591427				168				TRUE	TRUE	TRUE												Term-seq	TRUE
ERX1320333	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248395	ERP014057	PRJEB12568	316580	ERS1051987	SAMEA3864853	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0	2396950	4591428				168				TRUE	TRUE	TRUE												Term-seq	TRUE
ERX1320334	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248396	ERP014057	PRJEB12568	316580	ERS1051988	SAMEA3864854	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0	2396951	4591429				168				TRUE	TRUE	TRUE												Term-seq	TRUE
ERX1320335	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248397	ERP014057	PRJEB12568	316580	ERS1051989	SAMEA3864855	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0	2396952	4591430				168				TRUE	TRUE	TRUE												Term-seq	TRUE
ERX1320336	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248398	ERP014057	PRJEB12568	316580	ERS1051990	SAMEA3864856	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0	2396953	4591431				168				TRUE	TRUE	TRUE												Term-seq	TRUE
ERX1320337	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248399	ERP014057	PRJEB12568	316580	ERS1051991	SAMEA3864857	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0	2396954	4591432				168				TRUE	TRUE	TRUE												Term-seq	TRUE
ERX1320338	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248400	ERP014057	PRJEB12568	316580	ERS1051992	SAMEA3864858	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0	2396955	4591433				168				TRUE	TRUE	TRUE												Term-seq	TRUE
