	ReleaseDate	TaxID	ScientificName	species_tax_id	class_tax_id	strain_tax_id	species	LibraryLayout	Platform	Model	Run	SRAStudy	BioProject	ProjectID	Sample	BioSample	Submission	LibraryStrategy	LibrarySelection	LibrarySource	Body_Site	CenterName	InsertSize	InsertDev	SRA ID	Biosample	GEO Series	GEO Sample	PMID	biosample_strain	biosample_genotype	R1	R2	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation	passed_curation	passed_replicate_corr	passed_replicate_correlations
DRX131730	2018-09-25 19:19:17	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 4000	DRR139003	DRP004477	PRJDB7101	493212	DRS075645	SAMD00127371	DRA006972	RNA-Seq	cDNA	TRANSCRIPTOMIC		TUAGRI	200	50.0	6421815	10128017			27965645.0	168	wild-type			True	True	True	False	True	True
DRX131731	2018-09-25 19:19:17	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 4000	DRR139004	DRP004477	PRJDB7101	493212	DRS075646	SAMD00127372	DRA006972	RNA-Seq	cDNA	TRANSCRIPTOMIC		TUAGRI	200	50.0	6421816	10128018			27965645.0	168	YlxR mutant			True	True	True	False	True	True
ERX1295610	2016-10-05 10:52:19	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1223403	ERP013907	PRJEB12430	345451	ERS1037127	SAMEA3729978	ERA556125	RNA-Seq	unspecified	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	210	0.0	3248371	5863832				168				True	True	True	False	True	True
ERX1295611	2016-10-05 10:52:19	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1223404	ERP013907	PRJEB12430	345451	ERS1037128	SAMEA3729979	ERA556125	RNA-Seq	unspecified	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	210	0.0	3248372	5863833				168				True	True	True	False	True	True
ERX1295612	2016-10-05 10:52:19	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1223405	ERP013907	PRJEB12430	345451	ERS1037129	SAMEA3729980	ERA556125	RNA-Seq	unspecified	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	210	0.0	3248373	5863834				168				True	True	True	False	True	True
ERX1295613	2016-10-05 10:52:19	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1223406	ERP013907	PRJEB12430	345451	ERS1037130	SAMEA3729981	ERA556125	RNA-Seq	unspecified	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	210	0.0	3248374	5863835				168				True	True	True	False	True	True
ERX1295614	2016-10-05 10:52:19	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1223407	ERP013907	PRJEB12430	345451	ERS1037131	SAMEA3729982	ERA556125	RNA-Seq	unspecified	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	210	0.0	3248375	5863836				168				True	True	True	False	True	True
ERX1295615	2016-10-05 10:52:19	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1223408	ERP013907	PRJEB12430	345451	ERS1037132	SAMEA3729983	ERA556125	RNA-Seq	unspecified	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	210	0.0	3248376	5863837				168				True	True	True	False	True	True
ERX1295616	2016-10-05 10:52:19	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1223409	ERP013907	PRJEB12430	345451	ERS1037133	SAMEA3729984	ERA556125	RNA-Seq	unspecified	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	210	0.0	3248377	5863838				168				True	True	True	False	True	True
ERX1295617	2016-10-05 10:52:19	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1223410	ERP013907	PRJEB12430	345451	ERS1037134	SAMEA3729985	ERA556125	RNA-Seq	unspecified	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	210	0.0	3248378	5863839				168				True	True	True	False	True	True
ERX1320300	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248362	ERP014057	PRJEB12568	316580	ERS1051954	SAMEA3864820	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396917	4591395				168				True	False	False	False	True	True
ERX1320301	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248363	ERP014057	PRJEB12568	316580	ERS1051955	SAMEA3864821	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396918	4591396				168				True	False	False	False	True	True
ERX1320302	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248364	ERP014057	PRJEB12568	316580	ERS1051956	SAMEA3864822	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396919	4591397				168				True	True	True	False	True	True
ERX1320303	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248365	ERP014057	PRJEB12568	316580	ERS1051957	SAMEA3864823	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396920	4591398				168				True	False	False	False	True	True
ERX1320304	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248366	ERP014057	PRJEB12568	316580	ERS1051958	SAMEA3864824	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396921	4591399				168				True	False	False	False	True	True
ERX1320305	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248367	ERP014057	PRJEB12568	316580	ERS1051959	SAMEA3864825	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396922	4591400				168				True	True	True	False	True	True
ERX1320306	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248368	ERP014057	PRJEB12568	316580	ERS1051960	SAMEA3864826	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396923	4591401				168				True	True	True	False	True	True
ERX1320307	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248369	ERP014057	PRJEB12568	316580	ERS1051961	SAMEA3864827	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396924	4591402				168				True	True	True	False	True	True
ERX1320308	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248370	ERP014057	PRJEB12568	316580	ERS1051962	SAMEA3864828	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396925	4591403				168				True	False	False	False	True	True
ERX1320309	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248371	ERP014057	PRJEB12568	316580	ERS1051963	SAMEA3864829	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396926	4591404				168				True	False	False	False	True	True
ERX1320310	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248372	ERP014057	PRJEB12568	316580	ERS1051964	SAMEA3864830	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396927	4591405				168				True	False	False	False	True	True
ERX1320311	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248373	ERP014057	PRJEB12568	316580	ERS1051965	SAMEA3864831	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396928	4591406				168				True	False	False	False	True	True
ERX1320312	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248374	ERP014057	PRJEB12568	316580	ERS1051966	SAMEA3864832	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396929	4591407				168				True	False	False	False	True	True
ERX1320313	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248375	ERP014057	PRJEB12568	316580	ERS1051967	SAMEA3864833	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396930	4591408				168				True	False	False	False	True	True
ERX1320314	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248376	ERP014057	PRJEB12568	316580	ERS1051968	SAMEA3864834	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396931	4591409				168				True	False	False	False	True	True
