,imodulon,gene_ontology,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size
0,S-box,L-methionine salvage from methylthioadenosine,2.7056942565457308e-05,0.014436291120006335,0.08695652173913043,1.0,0.16,2.0,2.0,23.0
1,S-box,L-serine biosynthetic process,8.090795663734535e-05,0.014436291120006335,0.08695652173913043,0.6666666666666666,0.15384615384615383,2.0,3.0,23.0
2,S-box,carbon-sulfur lyase activity,8.090795663734535e-05,0.014436291120006335,0.08695652173913043,0.6666666666666666,0.15384615384615383,2.0,3.0,23.0
3,S-box,cystathionine gamma-lyase activity,8.090795663734535e-05,0.014436291120006335,0.08695652173913043,0.6666666666666666,0.15384615384615383,2.0,4.0,23.0
4,S-box,cysteine biosynthetic process via cystathionine,8.090795663734535e-05,0.014436291120006335,0.08695652173913043,0.6666666666666666,0.15384615384615383,2.0,3.0,23.0
5,S-box,phosphoglycerate dehydrogenase activity,2.7056942565457308e-05,0.014436291120006335,0.08695652173913043,1.0,0.16,2.0,2.0,23.0
6,S-box,transsulfuration,8.090795663734535e-05,0.014436291120006335,0.08695652173913043,0.6666666666666666,0.15384615384615383,2.0,3.0,23.0
7,S-box,pyridoxal phosphate binding,0.0001412405958995685,0.022051188034820136,0.13043478260869565,0.15,0.13953488372093023,3.0,21.0,23.0
8,WalR,glycine betaine transport,1.201762250665126e-06,0.0015010010510807426,0.16666666666666666,0.5,0.25,3.0,6.0,18.0
9,Rex,cytochrome complex,6.732304451892129e-06,0.00840864826041327,0.2857142857142857,0.6666666666666666,0.4,2.0,3.0,7.0
10,Rex,aerobic electron transport chain,4.69809211985011e-05,0.019559723525642628,0.2857142857142857,0.2857142857142857,0.2857142857142857,2.0,7.0,7.0
11,Rex,"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor",4.69809211985011e-05,0.019559723525642628,0.2857142857142857,0.2857142857142857,0.2857142857142857,2.0,7.0,7.0
12,Rex,ATPase-coupled transmembrane transporter activity,0.00023345854654576543,0.07289743115891525,0.2857142857142857,0.13333333333333333,0.18181818181818182,2.0,15.0,7.0
13,Rex,electron transfer activity,0.0003019177809906455,0.07541906169146324,0.2857142857142857,0.11764705882352941,0.16666666666666666,2.0,17.0,7.0
14,Fnr,anaerobic respiration,4.794709590351518e-05,0.05988592278349046,0.2,0.4,0.26666666666666666,2.0,5.0,10.0
15,PyrR,nitrogen compound metabolic process,1.242928348960175e-07,0.00015524175078512586,0.3333333333333333,0.5,0.4,3.0,6.0,9.0
16,PyrR,'de novo' pyrimidine nucleobase biosynthetic process,1.1537531005454906e-05,0.00720518811290659,0.2222222222222222,0.6666666666666666,0.3333333333333333,2.0,3.0,9.0
17,PyrR,cytoplasm,3.764864133993279e-05,0.015674384344525352,0.4444444444444444,0.0380952380952381,0.07017543859649124,4.0,105.0,9.0
18,CymR-1,positive regulation of cell population proliferation,2.7118318727462575e-07,0.0003387078009060076,0.10344827586206896,1.0,0.1875,3.0,3.0,29.0
19,CymR-1,cystathionine beta-synthase activity,4.341944142915294e-05,0.013557720586253007,0.06896551724137931,1.0,0.12903225806451613,2.0,2.0,29.0
20,CymR-1,cysteine biosynthetic process from serine,4.341944142915294e-05,0.013557720586253007,0.06896551724137931,1.0,0.12903225806451613,2.0,2.0,29.0
21,CymR-1,cysteine synthase activity,4.341944142915294e-05,0.013557720586253007,0.06896551724137931,1.0,0.12903225806451613,2.0,2.0,29.0
22,CymR-1,pyridoxal phosphate binding,0.0002862949438610914,0.07151647697650064,0.10344827586206896,0.15,0.12244897959183673,3.0,21.0,29.0
23,stringent response,structural constituent of ribosome,2.048735648297461e-28,2.5588708247235293e-25,0.4857142857142857,0.4722222222222222,0.47887323943661975,17.0,36.0,35.0
24,stringent response,cytosolic large ribosomal subunit,1.5785556909697741e-27,9.85808029010624e-25,0.42857142857142855,0.625,0.5084745762711864,15.0,24.0,35.0
25,stringent response,cytosolic small ribosomal subunit,2.952908489671714e-10,1.2293942345333236e-07,0.17142857142857143,0.46153846153846156,0.25000000000000006,6.0,13.0,35.0
26,stringent response,translation,1.7001197250123401e-06,0.0005308623841351033,0.11428571428571428,0.3333333333333333,0.1702127659574468,4.0,12.0,35.0
27,stringent response,large ribosomal subunit,4.803608675422665e-06,0.0011999414471205816,0.08571428571428572,0.6,0.15,3.0,5.0,35.0
28,stringent response,cytoplasmic translation,6.363194002548297e-05,0.013246048848638038,0.05714285714285714,1.0,0.1081081081081081,2.0,2.0,35.0
29,PhoP,"transferase activity, transferring glycosyl groups",7.135787174105939e-06,0.00891259818045832,0.16666666666666666,0.3,0.21428571428571427,3.0,10.0,18.0
30,TnrA-1,isoleucine biosynthetic process,7.509665912561705e-08,9.37957272478957e-05,0.10526315789473684,0.6666666666666666,0.18181818181818182,4.0,6.0,38.0
31,TnrA-1,valine biosynthetic process,6.185002109091327e-06,0.003862533817127534,0.07894736842105263,0.6,0.1395348837209302,3.0,5.0,38.0
32,TnrA-1,leucine biosynthetic process,7.51819392233854e-05,0.03130074736333612,0.05263157894736842,1.0,0.1,2.0,2.0,38.0
33,YlxR-1,histidine biosynthetic process,7.204038742049908e-11,8.997844388820335e-08,0.4,0.8,0.5333333333333333,4.0,5.0,10.0
34,YlxR-1,imidazoleglycerol-phosphate synthase activity,4.812499665792818e-06,0.0030054060412876148,0.2,1.0,0.33333333333333337,2.0,2.0,10.0
35,SigD,bacterial-type flagellum-dependent swarming motility,3.5886311842315376e-06,0.0030044327430119077,0.08108108108108109,0.23076923076923078,0.12,6.0,32.0,74.0
36,SigD,positive chemotaxis,4.810941141732438e-06,0.0030044327430119077,0.04054054054054054,1.0,0.07792207792207792,3.0,5.0,74.0
37,TnrA-2,cellular response to nitrogen levels,5.3044440760738877e-05,0.06625250651016286,0.0625,1.0,0.11764705882352941,2.0,2.0,32.0
38,SwrA,bacterial-type flagellum-dependent swarming motility,1.527044047626004e-32,1.907278015484879e-29,0.64,0.6153846153846154,0.6274509803921569,16.0,32.0,25.0
39,SwrA,bacterial-type flagellum assembly,3.602990403304195e-25,2.25006750686347e-22,0.48,0.7058823529411765,0.5714285714285713,12.0,18.0,25.0
