regulator,gene_id,effect
PerR,BSU_08820,repression
PerR,BSU_32990,repression
PerR,BSU_03510,activation
PerR,BSU_11500,repression
PerR,BSU_03520,activation
PerR,BSU_28120,repression
PerR,BSU_28170,repression
PerR,BSU_03480,activation
PerR,BSU_17370,transcription repression
PerR,BSU_03490,activation
PerR,BSU_23520,repression
PerR,BSU_03500,activation
PerR,BSU_13850,repression
PerR,BSU_17380,transcription repression
PerR,BSU_11490,repression
PerR,BSU_40100,repression
PerR,BSU_17390,transcription repression
PerR,BSU_08730,repression
PerR,BSU_40090,repression
PerR,BSU_17400,transcription repression
PerR,BSU_28150,repression
PerR,BSU_28160,repression
PerR,BSU_28140,repression
PerR,BSU_28130,repression
SpoVT,BSU_23410,activation
SpoVT,BSU_23380,activation
SpoVT,BSU_13380,repression
SpoVT,BSU_24230,activation
SpoVT,BSU_03720,repression
SpoVT,BSU_33060,repression
SpoVT,BSU_23930,repression
SpoVT,BSU_23430,activation
SpoVT,BSU_08660,repression
SpoVT,BSU_23401,activation
SpoVT,BSU_33050,repression
SpoVT,BSU_23440,activation
SpoVT,BSU_09750,activation
SpoVT,BSU_23390,activation
SpoVT,BSU_25540,repression
SpoVT,BSU_13410,activation
SpoVT,BSU_03710,repression
SpoVT,BSU_08650,repression
SpoVT,BSU_02080,repression
SpoVT,BSU_13400,activation
SpoVT,BSU_23420,activation
SpoVT,BSU_23402,activation
SpoVT,BSU_16799,repression
SpoVT,BSU_16790,repression
SpoVT,BSU_13470,activation
SpoVT,BSU_03700,repression
SpoVT,BSU_25530,repression
SpoVT,BSU_15440,activation
SpoVT,BSU_13390,repression
SpoVT,BSU_02070,repression
SpoVT,BSU_03930,repression
SpoVT,BSU_30840,activation
SpoVT,BSU_33070,repression
SpoVT,BSU_23940,repression
SpoVT,BSU_03920,repression
SpoVT,BSU_29570,activation
SigM,BSU_02910,sigma factor
SigM,BSU_11500,sigma factor
SigM,BSU_14480,sigma factor
SigM,BSU_00580,sigma factor
SigM,BSU_00900,sigma factor
SigM,BSU_38500,sigma factor
SigM,BSU_00720,sigma factor
SigM,BSU_00630,sigma factor
SigM,BSU_23370,sigma factor
SigM,BSU_18170,sigma factor
SigM,BSU_00680,sigma factor
SigM,BSU_28030,sigma factor
SigM,BSU_27180,sigma factor
SigM,BSU_38510,sigma factor
SigM,BSU_36380,sigma factor
SigM,BSU_38480,sigma factor
SigM,BSU_23830,sigma factor
SigM,BSU_04230,sigma factor
SigM,BSU_35650,sigma factor
SigM,BSU_00690,sigma factor
SigM,BSU_00700,sigma factor
SigM,BSU_00670,sigma factor
SigM,BSU_00890,sigma factor
SigM,BSU_27160,sigma factor
SigM,BSU_28000,sigma factor
SigM,BSU_00840,sigma factor
SigM,BSU_23300,sigma factor
SigM,BSU_00610,sigma factor
SigM,BSU_04560,sigma factor
SigM,BSU_35850,sigma factor
SigM,BSU_27990,sigma factor
SigM,BSU_18190,sigma factor
SigM,BSU_09510,sigma factor
SigM,BSU_09520,sigma factor
SigM,BSU_04570,sigma factor
SigM,BSU_28020,sigma factor
SigM,BSU_03240,sigma factor
SigM,BSU_22310,sigma factor
SigM,BSU_15260,sigma factor
SigM,BSU_35840,sigma factor
SigM,BSU_38260,sigma factor
SigM,BSU_36540,sigma factor
SigM,BSU_28010,sigma factor
SigM,BSU_27660,sigma factor
SigM,BSU_00830,sigma factor
SigM,BSU_09500,sigma factor
SigM,BSU_27170,sigma factor
SigM,BSU_15240,sigma factor
SigM,BSU_02920,sigma factor
SigM,BSU_28050,sigma factor
SigM,BSU_02890,sigma factor
SigM,BSU_00730,sigma factor
SigM,BSU_00850,sigma factor
SigM,BSU_02930,sigma factor
SigM,BSU_00590,sigma factor
SigM,BSU_00860,sigma factor
SigM,BSU_00570,sigma factor
SigM,BSU_15230,sigma factor
SigM,BSU_22980,sigma factor
SigM,BSU_28040,sigma factor
SigM,BSU_00870,sigma factor
SigM,BSU_22320,sigma factor
SigM,BSU_00620,sigma factor
SigM,BSU_27020,sigma factor
SigM,BSU_38120,sigma factor
SigM,BSU_15270,sigma factor
SigM,BSU_38530,sigma factor
SigM,BSU_11490,sigma factor
SigM,BSU_15220,sigma factor
SigM,BSU_07260,sigma factor
SigM,BSU_00910,sigma factor
SigM,BSU_00710,sigma factor
SigM,BSU_38280,sigma factor
SigM,BSU_00880,sigma factor
SigM,BSU_02940,sigma factor
SigM,BSU_03250,sigma factor
SigM,BSU_38520,sigma factor
SigM,BSU_00600,sigma factor
SigM,BSU_38540,sigma factor
SigM,BSU_36530,sigma factor
SigM,BSU_15250,sigma factor
SigM,BSU_18180,sigma factor
SigM,BSU_38250,sigma factor
SigM,BSU_30500,sigma factor
SigM,BSU_21920,sigma factor
SigM,BSU_38499,sigma factor
SigM,BSU_27650,sigma factor
SigM,BSU_16950,sigma factor
SigM,BSU_30510,sigma factor
SigM,BSU_21910,sigma factor
SigM,BSU_02900,sigma factor
SigM,BSU_06380,sigma factor
SigM,BSU_38270,sigma factor
ComK,BSU_28000,activation
ComK,BSU_10660,activation
ComK,BSU_33480,activation
ComK,BSU_24670,activation
ComK,BSU_10450,activation
ComK,BSU_40920,activation
ComK,BSU_24710,activation
ComK,BSU_35400,activation
ComK,BSU_25590,activation
ComK,BSU_10460,activation
ComK,BSU_33280,activation
ComK,BSU_35460,activation
ComK,BSU_33470,activation
ComK,BSU_25580,activation
ComK,BSU_40900,activation
ComK,BSU_27990,activation
ComK,BSU_03420,activation
ComK,BSU_06830,activation
ComK,BSU_33260,activation
ComK,BSU_14020,repression
ComK,BSU_10630,activation
ComK,BSU_41020,activation
ComK,BSU_36310,activation
ComK,BSU_24680,activation
ComK,BSU_35410,activation
ComK,BSU_35420,activation
ComK,BSU_28020,activation
ComK,BSU_40910,activation
ComK,BSU_24730,activation
ComK,BSU_24720,activation
ComK,BSU_40890,activation
ComK,BSU_35470,activation
ComK,BSU_28010,activation
ComK,BSU_35440,activation
ComK,BSU_10420,activation
ComK,BSU_35380,activation
ComK,BSU_28050,activation
ComK,BSU_10650,activation
ComK,BSU_24700,activation
ComK,BSU_41010,activation
ComK,BSU_03430,activation
ComK,BSU_33270,activation
ComK,BSU_41000,activation
ComK,BSU_28040,activation
ComK,BSU_06839,activation
ComK,BSU_02010,positive regulation
ComK,BSU_40990,activation
ComK,BSU_35430,activation
ComK,BSU_35370,activation
ComK,BSU_25570,activation
ComK,BSU_24660,activation
ComK,BSU_24690,activation
ComK,BSU_28030,activation
ComK,BSU_10620,activation
ComK,BSU_35450,activation
ComK,BSU_28070,activation
ComK,BSU_16940,activation
ComK,BSU_35390,activation
ComK,BSU_10640,activation
SwrAA;2,BSU_02780,activation
PchR,BSU_35090,repression
PchR,BSU_10730,activation
PchR,BSU_35080,repression
PchR,BSU_35060,repression
PchR,BSU_35070,repression
GerR,BSU_36060,activation
GerR,BSU_11750,activation
GerR,BSU_11760,activation
GerR,BSU_36070,activation
GerR,BSU_11740,activation
GerR,BSU_11810,activation
GerR,BSU_17670,repression
GerR,BSU_36050,activation
GerR,BSU_19790,activation
GerR,BSU_36040,activation
GerR,BSU_19780,activation
AdaA,BSU_01800,positive regulation
AdaA,BSU_01820,positive regulation
AdaA,BSU_01810,positive regulation
SigL,BSU_08080,sigma factor
SigL,BSU_24030,sigma factor
SigL,BSU_40320,sigma factor
SigL,BSU_24080,sigma factor
SigL,BSU_24050,sigma factor
SigL,BSU_27070,sigma factor
SigL,BSU_08070,sigma factor
SigL,BSU_37780,sigma factor
SigL,BSU_08060,sigma factor
SigL,BSU_27030,sigma factor
SigL,BSU_27050,sigma factor
SigL,BSU_24040,sigma factor
SigL,BSU_27060,sigma factor
SigL,BSU_37770,sigma factor
SigL,BSU_40330,sigma factor
SigL,BSU_24090,sigma factor
SigL,BSU_27040,sigma factor
SigL,BSU_40340,sigma factor
SigL,BSU_24060,sigma factor
SigL,BSU_37790,sigma factor
SigL,BSU_24070,sigma factor
SigL,BSU_08090,sigma factor
SigL,BSU_37760,sigma factor
MurR,BSU_01680,repression
MurR,BSU_01690,repression
MurR,BSU_01660,repression
MurR,BSU_01700,repression
MurR,BSU_01670,repression
MurR,BSU_01650,repression
CitT,BSU_07620,activation
CitT,BSU_07610,activation
