	ReleaseDate	TaxID	ScientificName	species_tax_id	class_tax_id	strain_tax_id	species	LibraryLayout	Platform	Model	Run	SRAStudy	BioProject	ProjectID	Sample	BioSample	Submission	LibraryStrategy	LibrarySelection	LibrarySource	Body_Site	CenterName	InsertSize	InsertDev	SRA ID	Biosample	GEO Series	GEO Sample	PMID	biosample_strain	biosample_genotype	R1	R2	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation	project	condition	reference_condition	strain_description	base_media	carbon_source	treatment	temperature	pH	OD	growth_phase	notes	skip	full_name	passed_replicate_correlations
ERX1819430	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752040	ERP020479	PRJEB18541	362321	ERS1470406	SAMEA24218668	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0.0	3624938	6239562			28099413					True	True	True	spbeta	spbeta_nopep_20m	phi3T_pep_10m	BEST7003 with spBeta	LB		MnCl2(.1mM);MgCl2(5mM)	37.0						spbeta:spbeta_nopep_20m	True
ERX1819431	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752041	ERP020479	PRJEB18541	362321	ERS1470407	SAMEA24219418	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0.0	3624939	6239563			28099413					True	True	True	spbeta	spbeta_pep_20m	phi3T_pep_10m	BEST7003 with spBeta	LB		MnCl2(.1mM);MgCl2(5mM);SAIRGA(1uM)	37.0						spbeta:spbeta_pep_20m	True
ERX1819432	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752042	ERP020479	PRJEB18541	362321	ERS1470408	SAMEA24220168	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0.0	3624940	6239564			28099413					True	True	True	spbeta	spbeta_nopep_20m	phi3T_pep_10m	BEST7003 with spBeta	LB		MnCl2(.1mM);MgCl2(5mM)	37.0						spbeta:spbeta_nopep_20m	True
ERX1819433	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752043	ERP020479	PRJEB18541	362321	ERS1470409	SAMEA24220918	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0.0	3624941	6239565			28099413					True	True	True	spbeta	spbeta_pep_20m	phi3T_pep_10m	BEST7003 with spBeta	LB		MnCl2(.1mM);MgCl2(5mM);SAIRGA(1uM)	37.0						spbeta:spbeta_pep_20m	True
ERX1819434	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752044	ERP020479	PRJEB18541	362321	ERS1470410	SAMEA24221668	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0.0	3624942	6239566			28099413					True	True	True	spbeta	phi3T_pep_10m	phi3T_pep_10m	BEST7003 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM);SAIRGA(1uM)	37.0						spbeta:phi3T_pep_10m	True
ERX1819435	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752045	ERP020479	PRJEB18541	362321	ERS1470411	SAMEA24222418	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0.0	3624943	6239567			28099413					True	True	True	spbeta	phi3T_pep_20m	phi3T_pep_10m	BEST7003 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM);SAIRGA(1uM)	37.0						spbeta:phi3T_pep_20m	True
ERX1819436	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752046	ERP020479	PRJEB18541	362321	ERS1470412	SAMEA24223168	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0.0	3624944	6239568			28099413					True	True	True	spbeta	phi3T_nopep_10m	phi3T_pep_10m	BEST7003 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM)	37.0						spbeta:phi3T_nopep_10m	True
ERX1819437	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752047	ERP020479	PRJEB18541	362321	ERS1470413	SAMEA24223918	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0.0	3624945	6239569			28099413					True	True	True	spbeta	phi3T_nopep_20m	phi3T_pep_10m	BEST7003 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM)	37.0						spbeta:phi3T_nopep_20m	True
ERX1819438	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752048	ERP020479	PRJEB18541	362321	ERS1470414	SAMEA24224668	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0.0	3624946	6239570			28099413					True	True	True	spbeta	phi3T_pep_10m	phi3T_pep_10m	BEST7003 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM);SAIRGA(1uM)	37.0						spbeta:phi3T_pep_10m	True
ERX1819439	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752049	ERP020479	PRJEB18541	362321	ERS1470415	SAMEA24225418	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0.0	3624947	6239571			28099413					True	True	True	spbeta	phi3T_pep_20m	phi3T_pep_10m	BEST7003 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM);SAIRGA(1uM)	37.0						spbeta:phi3T_pep_20m	True
