locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
BSU_00010,dnaA,AL009126.3,BSU00010,410,1750,+,chromosomal replication initiator informational ATPase,"Replication, recombination and repair",P05648,Op0
BSU_00020,dnaN,AL009126.3,BSU00020,1939,3075,+,DNA polymerase III (beta subunit),"Replication, recombination and repair",P05649,Op0
BSU_00030,rlbA,AL009126.3,BSU00030,3206,3421,+,RNA binding protein involved in ribosome maturation,Function unknown,P05650,Op1
BSU_00040,recF,AL009126.3,BSU00040,3437,4549,+,RecA filament-DNA complex stabilisation%2C ssDNA and dsDNA binding%2C ATP binding,"Replication, recombination and repair",P05651,Op1
BSU_00050,remB,AL009126.3,BSU00050,4567,4812,+,regulator of extracellular matrix formation,Function unknown,P37525,Op1
BSU_00060,gyrB,AL009126.3,BSU00060,4867,6783,+,DNA gyrase (subunit B),"Replication, recombination and repair",P05652,Op1
BSU_00070,gyrA,AL009126.3,BSU00070,6994,9459,+,DNA gyrase (subunit A),"Replication, recombination and repair",P05653,Op2
BSU_00080,yaaC,AL009126.3,BSU00080,14847,15794,-,conserved protein of unknown function,Function unknown,P37526,Op3
BSU_00090,guaB,AL009126.3,BSU00090,15915,17381,+,inosine-monophosphate dehydrogenase,Nucleotide transport and metabolism,P21879,Op4
BSU_00100,dacA,AL009126.3,BSU00100,17534,18865,+,D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5),Cell wall/membrane/envelope biogenesis,P08750,Op5
BSU_00110,pdxS,AL009126.3,BSU00110,19062,19946,+,glutamine amidotransferase for pyridoxal phosphate synthesis%3B pyridoxal 5'-phosphate synthase complex%2C synthase subunit,Coenzyme transport and metabolism,P37527,Op6
BSU_00120,pdxT,AL009126.3,BSU00120,19968,20558,+,glutamine amidotransferase for pyridoxal phosphate synthesis%3B pyridoxal 5'-phosphate synthase complex%2C glutamine amidotransferase subunit PdxT,Coenzyme transport and metabolism,P37528,Op6
BSU_00130,serS,AL009126.3,BSU00130,20880,22157,+,seryl-tRNA synthetase,"Translation, ribosomal structure and biogenesis",P37464,Op7
BSU_00140,dck,AL009126.3,BSU00140,22496,23149,-,deoxyadenosine/deoxycytidine kinase,Nucleotide transport and metabolism,P37529,Op8
BSU_00150,dgk,AL009126.3,BSU00150,23146,23769,-,deoxyguanosine kinase,Nucleotide transport and metabolism,P37530,Op8
BSU_00160,sleL,AL009126.3,BSU00160,23868,25151,-,spore peptidoglycan N-acetylglucosaminidase,Cell wall/membrane/envelope biogenesis,P37531,Op9
BSU_00170,yaaI,AL009126.3,BSU00170,25221,25766,-,putative amidase (isochorismatase family),"Secondary metabolites biosynthesis, transport, and catabolism",P37532,Op5
BSU_00180,tadA,AL009126.3,BSU00180,25852,26337,+,tRNA specific adenosine A34 deaminase,Nucleotide transport and metabolism,P21335,Op10
BSU_00190,dnaX,AL009126.3,BSU00190,26814,28505,+,DNA polymerase III subunit tau subunit,"Replication, recombination and repair",P09122,Op5
BSU_00200,ebfC,AL009126.3,BSU00200,28529,28852,+,nucleoid associated protein,Function unknown,P24281,Op5
BSU_00210,recR,AL009126.3,BSU00210,28867,29463,+,recA filament-DNA complex stabilisation factor,"Replication, recombination and repair",P24277,Op5
BSU_00220,yaaL,AL009126.3,BSU00220,29481,29705,+,conserved protein of unknown function,Function unknown,P37533,Op5
BSU_00230,bofA,AL009126.3,BSU00230,29772,30035,+,inhibitor of the pro-sigma(K) processing machinery,Function unknown,P24282,Op11
BSU_00240,csfB,AL009126.3,BSU00240,35531,35725,+,forespore-specific anti-sigma factor,Function unknown,P37534,Op12
BSU_00250,xpaC,AL009126.3,BSU00250,35845,36459,+,putative phosphatase,Function unknown,P37467,Op13
BSU_00260,yaaN,AL009126.3,BSU00260,36478,37638,+,putative toxic compound resistance protein,Inorganic ion transport and metabolism,P37535,Op13
BSU_00270,yaaO,AL009126.3,BSU00270,37720,39162,+,putative decarboxylase,Amino acid transport and metabolism,P37536,Op5
BSU_00280,tmk,AL009126.3,BSU00280,39159,39797,+,thymidylate kinase,Nucleotide transport and metabolism,P37537,Op5
BSU_00290,darA,AL009126.3,BSU00290,39871,40200,+,signal transduction receptor%2C cyclic di-AMP binding,Function unknown,P37538,Op5
BSU_00300,yaaR,AL009126.3,BSU00300,40213,40653,+,conserved hypothetical protein,Function unknown,P37539,Op5
BSU_00310,holB,AL009126.3,BSU00310,40665,41654,+,DNA polymerase III clamp loader delta' subunit,"Replication, recombination and repair",P37540,Op5
BSU_00320,ricT,AL009126.3,BSU00320,41657,42484,+,subunit of a sporulation%2C competence and biofilm formation regulatory complex of RNaseY (RicAFT complex / FAD / two [4Fe-4S]2+),Function unknown,P37541,Op5
