,gene_id,gene_name,gene_ontology
0,BSU_16390,flhA,plasma membrane
1,BSU_16390,flhA,bacterial-type flagellum assembly
2,BSU_09270,glpP,"transcription antitermination factor activity, RNA binding"
3,BSU_01420,rpsK,translation
4,BSU_01420,rpsK,small ribosomal subunit rRNA binding
5,BSU_01420,rpsK,ribosomal small subunit assembly
6,BSU_01420,rpsK,mRNA 5'-UTR binding
7,BSU_01420,rpsK,structural constituent of ribosome
8,BSU_01420,rpsK,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
9,BSU_01420,rpsK,cytosolic small ribosomal subunit
10,BSU_31930,ald,alanine catabolic process
11,BSU_31930,ald,alanine dehydrogenase activity
12,BSU_03560,ycxD,transaminase activity
13,BSU_03560,ycxD,alpha-amino acid metabolic process
14,BSU_03510,srfAC,phosphopantetheine binding
15,BSU_03510,srfAC,cytoplasm
16,BSU_03510,srfAC,amino acid activation for nonribosomal peptide biosynthetic process
17,BSU_03510,srfAC,cytosol
18,BSU_03510,srfAC,secondary metabolite biosynthetic process
19,BSU_28120,hemL,porphyrin-containing compound biosynthetic process
20,BSU_16660,truB,mRNA pseudouridine synthesis
21,BSU_16660,truB,tRNA modification
22,BSU_16660,truB,pseudouridine synthase activity
23,BSU_16650,rbfA,cytosol
24,BSU_16650,rbfA,ribosome biogenesis
25,BSU_16650,rbfA,ribosomal small subunit binding
26,BSU_16600,nusA,transcription antitermination
27,BSU_16600,nusA,cytosol
28,BSU_16590,rimP,ribosomal small subunit assembly
29,BSU_16590,rimP,cytosol
30,BSU_16590,rimP,translation
31,BSU_34265,epsK,plasma membrane
32,BSU_22730,ndk,pyrimidine nucleotide metabolic process
33,BSU_22730,ndk,nucleoside diphosphate kinase activity
34,BSU_22730,ndk,purine nucleotide metabolic process
35,BSU_22700,aroB,aromatic amino acid family biosynthetic process
36,BSU_22700,aroB,3-dehydroquinate synthase activity
37,BSU_22740,hepT,prenyltransferase activity
38,BSU_22740,hepT,isoprenoid biosynthetic process
39,BSU_22750,menG,methyltransferase activity
40,BSU_23080,aroC,chorismate synthase activity
41,BSU_23080,aroC,aromatic amino acid family biosynthetic process
42,BSU_23080,aroC,chorismate biosynthetic process
43,BSU_23080,aroC,cytosol
44,BSU_23080,aroC,FMN binding
45,BSU_34380,slrR,"regulation of transcription, DNA-templated"
46,BSU_34380,slrR,DNA-binding transcription factor activity
52,BSU_07340,mtrA,amino acid transport
53,BSU_07340,mtrA,amino acid transmembrane transporter activity
58,BSU_09840,hemZ,cytoplasm
59,BSU_09840,hemZ,"4 iron, 4 sulfur cluster binding"
60,BSU_09840,hemZ,porphyrin-containing compound biosynthetic process
61,BSU_10880,yisV,transaminase activity
62,BSU_10880,yisV,alpha-amino acid metabolic process
63,BSU_11170,yitY,oxidoreductase activity
64,BSU_13940,ykwB,"transferase activity, transferring acyl groups other than amino-acyl groups"
65,BSU_13980,pbpH,"peptidoglycan L,D-transpeptidase activity"
66,BSU_13980,pbpH,cell wall organization
67,BSU_13980,pbpH,penicillin binding
68,BSU_13980,pbpH,integral component of plasma membrane
69,BSU_27220,yrhE,"4 iron, 4 sulfur cluster binding"
70,BSU_34230,epsN,polysaccharide biosynthetic process
71,BSU_34230,epsN,pyridoxal phosphate binding
72,BSU_34230,epsN,transaminase activity
73,BSU_01170,rplD,structural constituent of ribosome
74,BSU_28090,valS,cytosol
75,BSU_28090,valS,valine-tRNA ligase activity
76,BSU_28090,valS,valyl-tRNA aminoacylation
77,BSU_28080,folC,dihydrofolate synthase activity
78,BSU_28080,folC,folic acid-containing compound biosynthetic process
79,BSU_28080,folC,tetrahydrofolylpolyglutamate synthase activity
80,BSU_28080,folC,cytoplasm
81,BSU_08350,estB,lipid catabolic process
82,BSU_08350,estB,lipase activity
90,BSU_10430,yhxD,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
91,BSU_04700,rsbU,phosphatase activity
92,BSU_33930,pgk,gluconeogenesis
93,BSU_33930,pgk,phosphoglycerate kinase activity
94,BSU_33930,pgk,ADP binding
95,BSU_33930,pgk,glycolytic process
96,BSU_33930,pgk,ATP binding
97,BSU_33930,pgk,cytosol
98,BSU_15140,rsmH,rRNA (cytosine-N4-)-methyltransferase activity
99,BSU_15140,rsmH,cytoplasm
100,BSU_15140,rsmH,rRNA base methylation
101,BSU_39240,yxxF,integral component of membrane
102,BSU_11210,argB,acetylglutamate kinase activity
103,BSU_11210,argB,arginine biosynthetic process
104,BSU_11210,argB,arginine binding
105,BSU_18120,alsT,plasma membrane
106,BSU_18100,parC,DNA topological change
107,BSU_18100,parC,cytoplasm
108,BSU_18100,parC,ATP binding
109,BSU_18100,parC,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex"
110,BSU_18100,parC,DNA binding
111,BSU_18100,parC,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity"
114,BSU_35510,yvyE,regulation of translational initiation
115,BSU_10150,yhgD,DNA-binding transcription factor activity
116,BSU_10150,yhgD,transcription regulatory region sequence-specific DNA binding
117,BSU_10150,yhgD,"regulation of transcription, DNA-templated"
118,BSU_10140,hemY,oxidoreductase activity
119,BSU_10130,hemH,heme biosynthetic process
120,BSU_10130,hemH,ferrochelatase activity
121,BSU_10120,hemE,uroporphyrinogen decarboxylase activity
122,BSU_10120,hemE,heme biosynthetic process
123,BSU_10120,hemE,cytosol
124,BSU_09100,cspB,"transcription antitermination factor activity, RNA binding"
125,BSU_09100,cspB,nucleic acid binding
126,BSU_09100,cspB,cytosol
127,BSU_09100,cspB,"negative regulation of DNA-templated transcription, termination"
128,BSU_09100,cspB,RNA binding
129,BSU_09100,cspB,regulation of gene expression
130,BSU_40400,walK,osmosensory signaling via phosphorelay pathway
131,BSU_40400,walK,protein kinase activator activity
132,BSU_40400,walK,phosphorelay response regulator activity
133,BSU_40220,yydB,DNA repair
134,BSU_40220,yydB,DNA replication termination
135,BSU_40220,yydB,DNA binding
136,BSU_40220,yydB,exodeoxyribonuclease activity
140,BSU_40130,yydK,"negative regulation of transcription, DNA-templated"
141,BSU_01750,cdaA,adenylate cyclase activity
142,BSU_01710,ybbJ,"transferase activity, transferring acyl groups other than amino-acyl groups"
143,BSU_01700,murQ,peptidoglycan turnover
144,BSU_01700,murQ,carbon-oxygen lyase activity
145,BSU_01700,murQ,ether hydrolase activity
146,BSU_01700,murQ,amino sugar catabolic process
149,BSU_08600,csbB,plasma membrane
150,BSU_14670,suhB,inositol monophosphate 1-phosphatase activity
151,BSU_14670,suhB,signal transduction
152,BSU_14670,suhB,inositol phosphate dephosphorylation
153,BSU_14670,suhB,inositol metabolic process
154,BSU_14560,defB,N-terminal protein amino acid modification
155,BSU_14560,defB,peptidyl-methionine modification
156,BSU_14560,defB,co-translational protein modification
157,BSU_14560,defB,peptide deformylase activity
158,BSU_14550,ykrA,magnesium ion binding
159,BSU_14550,ykrA,phosphatase activity
160,BSU_14550,ykrA,cytosol
163,BSU_15430,ileS,isoleucine-tRNA ligase activity
164,BSU_15430,ileS,isoleucyl-tRNA aminoacylation
165,BSU_15430,ileS,cytosol
166,BSU_33710,opuBC,glycine betaine transport
167,BSU_09260,yhxA,adenosylmethionine-8-amino-7-oxononanoate transaminase activity
168,BSU_09260,yhxA,biotin biosynthetic process
171,BSU_17460,glnA,glutamine biosynthetic process
172,BSU_35370,csrA,negative regulation of translational initiation
173,BSU_35370,csrA,mRNA 5'-UTR binding
174,BSU_35370,csrA,cytosol
175,BSU_00190,dnaX,DNA-dependent DNA replication
176,BSU_17420,spoVK,ATPase activity
177,BSU_35750,tagA,"transferase activity, transferring hexosyl groups"
178,BSU_35730,tagE,"transferase activity, transferring glycosyl groups"
179,BSU_37150,pyrG,CTP biosynthetic process
180,BSU_37150,pyrG,CTP synthase activity
181,BSU_37150,pyrG,pyrimidine nucleobase biosynthetic process
182,BSU_37150,pyrG,identical protein binding
183,BSU_37150,pyrG,cytosol
184,BSU_11650,tenA,cytosol
185,BSU_29740,ccpA,"regulation of transcription, DNA-templated"
186,BSU_29740,ccpA,DNA-binding transcription factor activity
187,BSU_29740,ccpA,transcription regulatory region sequence-specific DNA binding
188,BSU_28490,uvrC,excinuclease repair complex
189,BSU_28490,uvrC,cellular response to DNA damage stimulus
190,BSU_28500,trxA,protein disulfide oxidoreductase activity
191,BSU_28500,trxA,"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor"
192,BSU_28500,trxA,protein-disulfide reductase activity
193,BSU_28500,trxA,cytosol
194,BSU_28500,trxA,cytoplasm
195,BSU_28500,trxA,cell redox homeostasis
196,BSU_01230,rplP,cytosolic large ribosomal subunit
197,BSU_01230,rplP,structural constituent of ribosome
198,BSU_01230,rplP,rRNA binding
201,BSU_31670,yuxO,"1,4-dihydroxy-2-naphthoyl-CoA thioesterase activity"
202,BSU_31670,yuxO,cytosol
203,BSU_00520,ctc,5S rRNA binding
204,BSU_00520,ctc,cytosolic large ribosomal subunit
205,BSU_00520,ctc,translation
206,BSU_00510,prs,5-phosphoribose 1-diphosphate biosynthetic process
207,BSU_00510,prs,ribose phosphate diphosphokinase activity
208,BSU_00510,prs,ribose phosphate diphosphokinase complex
209,BSU_00510,prs,purine nucleotide biosynthetic process
210,BSU_00510,prs,cytoplasm
211,BSU_29110,phoP,DNA-binding transcription activator activity
212,BSU_29110,phoP,cytosol
213,BSU_29110,phoP,protein-DNA complex
214,BSU_29110,phoP,transcription regulatory region sequence-specific DNA binding
215,BSU_29110,phoP,phosphorelay response regulator activity
217,BSU_04180,ydaC,methyltransferase activity
218,BSU_04540,ydbO,cation transmembrane transporter activity
219,BSU_04540,ydbO,membrane
220,BSU_06520,purH,phosphoribosylaminoimidazolecarboxamide formyltransferase activity
221,BSU_06520,purH,'de novo' IMP biosynthetic process
222,BSU_06520,purH,cytosol
223,BSU_06520,purH,IMP cyclohydrolase activity
224,BSU_06440,purB,'de novo' AMP biosynthetic process
225,BSU_06440,purB,"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity"
226,BSU_06440,purB,cytosol
