UniProtKB	P45949	arsR		GO:0006355	GO_REF:0000033	IBA	PANTHER:PTN002108422|UniProtKB:P37309	P	Arsenical resistance operon repressor	UniProtKB:P45949|PTN002108560	protein	NCBITaxon:224308	20170228	GO_Central			regulation of DNA-templated transcription
UniProtKB	P45946	arsB		GO:0015105	GO_REF:0000033	IBA	PANTHER:PTN000040977|SGD:S000006405	F	Arsenite resistance protein ArsB	UniProtKB:P45946|PTN000040986	protein	NCBITaxon:224308	20170228	GO_Central			arsenite transmembrane transporter activity
UniProtKB	P45946	arsB		GO:0015104	GO_REF:0000033	IBA	PANTHER:PTN000040977|SGD:S000006405	F	Arsenite resistance protein ArsB	UniProtKB:P45946|PTN000040986	protein	NCBITaxon:224308	20170228	GO_Central			antimonite transmembrane transporter activity
UniProtKB	P45946	arsB		GO:0015297	GO_REF:0000033	IBA	PANTHER:PTN000040977|SGD:S000006405	F	Arsenite resistance protein ArsB	UniProtKB:P45946|PTN000040986	protein	NCBITaxon:224308	20170228	GO_Central			antiporter activity
UniProtKB	P45946	arsB		GO:0005886	GO_REF:0000033	IBA	PANTHER:PTN000040977|SGD:S000006405	C	Arsenite resistance protein ArsB	UniProtKB:P45946|PTN000040986	protein	NCBITaxon:224308	20170228	GO_Central			plasma membrane
UniProtKB	P45946	arsB		GO:0015700	GO_REF:0000033	IBA	PANTHER:PTN000040977|SGD:S000006405	P	Arsenite resistance protein ArsB	UniProtKB:P45946|PTN000040986	protein	NCBITaxon:224308	20201001	GO_Central			arsenite transport
UniProtKB	P45946	arsB		GO:0015699	GO_REF:0000033	IBA	PANTHER:PTN000040977|SGD:S000006405	P	Arsenite resistance protein ArsB	UniProtKB:P45946|PTN000040986	protein	NCBITaxon:224308	20201001	GO_Central			antimonite transport
UniProtKB	P45945	yqcK		GO:0046686	GO_REF:0000033	IBA	PANTHER:PTN002222394|UniProtKB:P9WIR5	P	Uncharacterized protein YqcK	UniProtKB:P45945|PTN002222400	protein	NCBITaxon:224308	20170228	GO_Central			response to cadmium ion
UniProtKB	P45910	yqaM		GO:0006260	GO_REF:0000033	IBA	PANTHER:PTN001574578|UniProtKB:P03004|UniProtKB:P0AEF0|UniProtKB:P05648	P	Uncharacterized protein YqaM	UniProtKB:P45910|PTN000349980	protein	NCBITaxon:224308	20230603	GO_Central			DNA replication
UniProtKB	P45868	maeA		GO:0004470	GO_REF:0000033	IBA	PANTHER:PTN000601050|MGI:MGI:2147351|UniProtKB:Q16798|TAIR:locus:2054085|TAIR:locus:2127038|FB:FBgn0002719|UniProtKB:P48163|SGD:S000001512|MGI:MGI:97043|UniProtKB:P23368|TAIR:locus:2181980|PomBase:SPCC794.12c|MGI:MGI:1916679|UniProtKB:P26616|TAIR:locus:2052045|TAIR:locus:2180547|RGD:3074|TAIR:locus:2017854	F	Probable NAD-dependent malic enzyme 2	UniProtKB:P45868|PTN000601200	protein	NCBITaxon:224308	20230111	GO_Central			malic enzyme activity
UniProtKB	P45868	maeA		GO:0006090	GO_REF:0000033	IBA	PANTHER:PTN000601050|UniProtKB:Q16798|MGI:MGI:2147351|PomBase:SPCC794.12c|SGD:S000001512|MGI:MGI:1916679	P	Probable NAD-dependent malic enzyme 2	UniProtKB:P45868|PTN000601200	protein	NCBITaxon:224308	20230111	GO_Central			pyruvate metabolic process
UniProtKB	P45868	maeA		GO:0006108	GO_REF:0000033	IBA	PANTHER:PTN000601050|TAIR:locus:2052045|TAIR:locus:2180547|FB:FBgn0002719|UniProtKB:P48163|TAIR:locus:2017854|UniProtKB:Q16798|TAIR:locus:2181980|PomBase:SPCC794.12c|TAIR:locus:2054085|TAIR:locus:2127038	P	Probable NAD-dependent malic enzyme 2	UniProtKB:P45868|PTN000601200	protein	NCBITaxon:224308	20170228	GO_Central			malate metabolic process
UniProtKB	P45867	acdA		GO:0003995	GO_REF:0000033	IBA	PANTHER:PTN000744030|UniProtKB:Q9I296|UniProtKB:C8VQF1|TAIR:locus:2078302|RGD:2014|RGD:620514|UniProtKB:Q9H845|RGD:2013|UniProtKB:P16219|UniProtKB:P45954|RGD:2936|UniProtKB:Q9FS87|UniProtKB:Q9FS88|UniProtKB:Q3ZBF6|UniProtKB:P26440|UniProtKB:P49748	F	Acyl-CoA dehydrogenase	UniProtKB:P45867|PTN000097907	protein	NCBITaxon:224308	20231109	GO_Central			acyl-CoA dehydrogenase activity
UniProtKB	P45861	ywjA		GO:0034040	GO_REF:0000033	IBA	PANTHER:PTN000657720|UniProtKB:P60752	F	Uncharacterized ABC transporter ATP-binding protein YwjA	UniProtKB:P45861|PTN000657683	protein	NCBITaxon:224308	20170228	GO_Central			ATPase-coupled lipid transmembrane transporter activity
UniProtKB	P45861	ywjA		GO:0055085	GO_REF:0000033	IBA	PANTHER:PTN000657189|TAIR:locus:2097978|MGI:MGI:97570|UniProtKB:O53645|UniProtKB:Q9NP58|UniProtKB:Q03518|PomBase:SPCC663.03|UniProtKB:Q9FNU2|UniProtKB:Q03519|UniProtKB:O75027|WB:WBGene00001811|UniProtKB:Q2M3G0|PomBase:SPCC737.09c|TAIR:locus:2057961|PomBase:SPBC25B2.02c|UniProtKB:P29018|RGD:619930|TAIR:locus:2041434|SGD:S000004916|UniProtKB:Q9NUT2|UniProtKB:P08183|WB:WBGene00001815|UniProtKB:O95342	P	Uncharacterized ABC transporter ATP-binding protein YwjA	UniProtKB:P45861|PTN000657683	protein	NCBITaxon:224308	20231109	GO_Central			transmembrane transport
UniProtKB	P45858	mmgD		GO:0006099	GO_REF:0000033	IBA	PANTHER:PTN000201223|SGD:S000006205|UniProtKB:Q9I5E3|RGD:620330|PomBase:SPAC6C3.04	P	Citrate/2-methylcitrate synthase	UniProtKB:P45858|PTN000201316	protein	NCBITaxon:224308	20180508	GO_Central			tricarboxylic acid cycle
UniProtKB	P45858	mmgD		GO:0005975	GO_REF:0000033	IBA	PANTHER:PTN000201223|UniProtKB:O75390	P	Citrate/2-methylcitrate synthase	UniProtKB:P45858|PTN000201316	protein	NCBITaxon:224308	20180508	GO_Central			carbohydrate metabolic process
UniProtKB	P45858	mmgD		GO:0004108	GO_REF:0000033	IBA	PANTHER:PTN000201223|SGD:S000000598|FB:FBgn0261955|TAIR:locus:2050554|TAIR:locus:2098989|dictyBase:DDB_G0267426|SGD:S000005284|TAIR:locus:2052379|PomBase:SPAC6C3.04|MGI:MGI:88529|SGD:S000006205|UniProtKB:O75390|RGD:620330|UniProtKB:O00098|UniProtKB:P31660|UniProtKB:Q9TEM3	F	Citrate/2-methylcitrate synthase	UniProtKB:P45858|PTN000201316	protein	NCBITaxon:224308	20230110	GO_Central			citrate (Si)-synthase activity
UniProtKB	P45857	mmgC		GO:0005737	GO_REF:0000033	IBA	PANTHER:PTN002535634|RGD:1306270|UniProtKB:Q709F0|UniProtKB:P11310|FB:FBgn0035811|RGD:2012|MGI:MGI:87867|FB:FBgn0086712|MGI:MGI:87866|RGD:2011|UniProtKB:Q47146	C	Acyl-CoA dehydrogenase	UniProtKB:P45857|PTN000097910	protein	NCBITaxon:224308	20230604	GO_Central			cytoplasm
UniProtKB	P45857	mmgC		GO:0003995	GO_REF:0000033	IBA	PANTHER:PTN002535634|UniProtKB:Q709F0|RGD:2012|TAIR:locus:2083328|UniProtKB:P11310|FB:FBgn0035811|UniProtKB:P9WQG3|MGI:MGI:87867|UniProtKB:Q47146|RGD:2011|MGI:MGI:87866	F	Acyl-CoA dehydrogenase	UniProtKB:P45857|PTN000097910	protein	NCBITaxon:224308	20220309	GO_Central			acyl-CoA dehydrogenase activity
UniProtKB	P45857	mmgC		GO:0033539	GO_REF:0000033	IBA	PANTHER:PTN002535634|UniProtKB:P11310|RGD:2012|UniProtKB:Q709F0|RGD:2011|UniProtKB:Q47146|MGI:MGI:87866|MGI:MGI:87867	P	Acyl-CoA dehydrogenase	UniProtKB:P45857|PTN000097910	protein	NCBITaxon:224308	20220309	GO_Central			fatty acid beta-oxidation using acyl-CoA dehydrogenase
UniProtKB	P45856	mmgB		GO:0016491	GO_REF:0000033	IBA	PANTHER:PTN002455225|UniProtKB:Q9Y2S2|UniProtKB:P76083|FB:FBgn0286508|UniProtKB:P9WNP7	F	Probable 3-hydroxybutyryl-CoA dehydrogenase	UniProtKB:P45856|PTN000592980	protein	NCBITaxon:224308	20220311	GO_Central			oxidoreductase activity
UniProtKB	P45744	dhbC		GO:0009697	GO_REF:0000033	IBA	PANTHER:PTN001343061|UniProtKB:Q51508	P	Isochorismate synthase DhbC	UniProtKB:P45744|PTN000132908	protein	NCBITaxon:224308	20170228	GO_Central			salicylic acid biosynthetic process
UniProtKB	P45744	dhbC		GO:0008909	GO_REF:0000033	IBA	PANTHER:PTN001343061|UniProtKB:Q51508	F	Isochorismate synthase DhbC	UniProtKB:P45744|PTN000132908	protein	NCBITaxon:224308	20170228	GO_Central			isochorismate synthase activity
UniProtKB	P45740	thiC		GO:0009228	GO_REF:0000033	IBA	PANTHER:PTN000777484|UniProtKB:Q9L9I7|UniProtKB:P30136	P	Phosphomethylpyrimidine synthase	UniProtKB:P45740|PTN001254532	protein	NCBITaxon:224308	20210905	GO_Central			thiamine biosynthetic process
UniProtKB	P45740	thiC		GO:0005829	GO_REF:0000033	IBA	PANTHER:PTN000777484|UniProtKB:P30136	C	Phosphomethylpyrimidine synthase	UniProtKB:P45740|PTN001254532	protein	NCBITaxon:224308	20170228	GO_Central			cytosol
UniProtKB	P45694	tkt		GO:0006098	GO_REF:0000033	IBA	PANTHER:PTN000179149|PomBase:SPBC2G5.05|UniProtKB:P27302|SGD:S000006278|SGD:S000000321	P	Transketolase	UniProtKB:P45694|PTN000179203	protein	NCBITaxon:224308	20230407	GO_Central			pentose-phosphate shunt
UniProtKB	P45694	tkt		GO:0004802	GO_REF:0000033	IBA	PANTHER:PTN000179149|UniProtKB:C6KSV3|UniProtKB:P33570|PomBase:SPBC2G5.05|UniProtKB:P27302|UniProtKB:Q7SIC9|SGD:S000006278|TAIR:locus:2101871	F	Transketolase	UniProtKB:P45694|PTN000179203	protein	NCBITaxon:224308	20230112	GO_Central			transketolase activity
UniProtKB	P45694	tkt		GO:0005829	GO_REF:0000033	IBA	PANTHER:PTN000179149|UniProtKB:P33570|UniProtKB:P27302|dictyBase:DDB_G0272618	C	Transketolase	UniProtKB:P45694|PTN000179203	protein	NCBITaxon:224308	20201001	GO_Central			cytosol
UniProtKB	P49857	gdnD		GO:0055085	GO_REF:0000033	IBA	PANTHER:PTN001254638|UniProtKB:P69212|UniProtKB:P23895|UniProtKB:P9WGF1|UniProtKB:P69210|UniProtKB:P69937	P	Probable guanidinium efflux system subunit GdnD	UniProtKB:P49857|PTN001254660	protein	NCBITaxon:224308	20201001	GO_Central			transmembrane transport
UniProtKB	P49857	gdnD		GO:0022857	GO_REF:0000033	IBA	PANTHER:PTN001254638|UniProtKB:P69212|UniProtKB:P76474|UniProtKB:P23895|UniProtKB:P9WGF1|UniProtKB:Q47377|UniProtKB:P69210	F	Probable guanidinium efflux system subunit GdnD	UniProtKB:P49857|PTN001254660	protein	NCBITaxon:224308	20230603	GO_Central			transmembrane transporter activity
UniProtKB	P49856	gdnC		GO:0055085	GO_REF:0000033	IBA	PANTHER:PTN001254638|UniProtKB:P69212|UniProtKB:P23895|UniProtKB:P9WGF1|UniProtKB:P69210|UniProtKB:P69937	P	Probable guanidinium efflux system subunit GdnC	UniProtKB:P49856|PTN001254662	protein	NCBITaxon:224308	20201001	GO_Central			transmembrane transport
UniProtKB	P49856	gdnC		GO:0022857	GO_REF:0000033	IBA	PANTHER:PTN001254638|UniProtKB:P69212|UniProtKB:P76474|UniProtKB:P23895|UniProtKB:P9WGF1|UniProtKB:Q47377|UniProtKB:P69210	F	Probable guanidinium efflux system subunit GdnC	UniProtKB:P49856|PTN001254662	protein	NCBITaxon:224308	20230603	GO_Central			transmembrane transporter activity
