From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
CAB11777.1	P05648	reviewed	DNAA_BACSU	Chromosomal replication initiator protein DnaA	dnaA dnaH BSU00010	Bacillus subtilis (strain 168)	446
CAB11778.1	P05649	reviewed	DPO3B_BACSU	Beta sliding clamp (Beta clamp) (Sliding clamp) (Beta-clamp processivity factor) (DNA polymerase III beta sliding clamp subunit) (DNA polymerase III subunit beta)	dnaN dnaG BSU00020	Bacillus subtilis (strain 168)	378
CAB11779.1	P05650	reviewed	RLBA_BACSU	Probable ribosome maturation protein RlbA	rlbA yaaA BSU00030	Bacillus subtilis (strain 168)	71
CAB11780.1	P05651	reviewed	RECF_BACSU	DNA replication and repair protein RecF	recF BSU00040	Bacillus subtilis (strain 168)	370
CAB11781.2	P37525	reviewed	REMB_BACSU	Extracellular matrix regulatory protein B (Regulator of the extracellular matrix B)	remB yaaB BSU00050	Bacillus subtilis (strain 168)	81
CAB11782.1	P05652	reviewed	GYRB_BACSU	DNA gyrase subunit B (EC 5.6.2.2)	gyrB novA BSU00060	Bacillus subtilis (strain 168)	638
CAB11783.1	P05653	reviewed	GYRA_BACSU	DNA gyrase subunit A (EC 5.6.2.2)	gyrA cafB nalA BSU00070	Bacillus subtilis (strain 168)	821
CAB11784.1	P37526	reviewed	YAAC_BACSU	Uncharacterized protein YaaC	yaaC BSU00080	Bacillus subtilis (strain 168)	315
CAB11785.1	P21879	reviewed	IMDH_BACSU	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205) (Superoxide-inducible protein 12) (SOI12)	guaB gnaB BSU00090	Bacillus subtilis (strain 168)	488
CAB11786.1	P08750	reviewed	DACA_BACSU	D-alanyl-D-alanine carboxypeptidase DacA (CPase) (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Penicillin-binding protein 5) (PBP-5)	dacA BSU00100	Bacillus subtilis (strain 168)	443
CAB11787.1	P37527	reviewed	PDXS_BACSU	Pyridoxal 5'-phosphate synthase subunit PdxS (PLP synthase subunit PdxS) (EC 4.3.3.6) (Pdx1) (Superoxide-inducible protein 7) (SOI7)	pdxS yaaD BSU00110	Bacillus subtilis (strain 168)	294
CAB11788.1	P37528	reviewed	PDXT_BACSU	Pyridoxal 5'-phosphate synthase subunit PdxT (EC 4.3.3.6) (Pdx2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)	pdxT yaaE BSU00120	Bacillus subtilis (strain 168)	196
CAB11789.1	P37464	reviewed	SYS_BACSU	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS BSU00130	Bacillus subtilis (strain 168)	425
CAB11790.1	P37529	reviewed	DCK_BACSU	Deoxyadenosine/deoxycytidine kinase (dAK/dCK) (EC 2.7.1.74) (EC 2.7.1.76)	dck dak yaaF BSU00140	Bacillus subtilis (strain 168)	217
CAB11791.1	P37530	reviewed	DGK_BACSU	Deoxyguanosine kinase (DGUO kinase) (dGK) (EC 2.7.1.113)	dgk yaaG BSU00150	Bacillus subtilis (strain 168)	207
CAB11792.1	P37531	reviewed	SLEL_BACSU	Cortical fragment-lytic enzyme (CFLE) (EC 3.2.1.-) (Spore germination protein) (Spore peptidoglycan N-acetylglucosaminidase)	sleL yaaH BSU00160	Bacillus subtilis (strain 168)	431
CAB11793.1	P37532	reviewed	YAAI_BACSU	Uncharacterized isochorismatase family protein YaaI (EC 3.-.-.-)	yaaI BSU00170	Bacillus subtilis (strain 168)	181
CAB11794.1	P21335	reviewed	TADA_BACSU	tRNA-specific adenosine deaminase (EC 3.5.4.33)	tadA yaaJ BSU00180	Bacillus subtilis (strain 168)	161
CAB11795.2	P09122	reviewed	DPO3X_BACSU	DNA polymerase III subunit gamma/tau (EC 2.7.7.7)	dnaX dnaH BSU00190	Bacillus subtilis (strain 168)	563
CAB11796.1	P24281	reviewed	YAAK_BACSU	Nucleoid-associated protein YaaK	yaaK BSU00200	Bacillus subtilis (strain 168)	107
CAB11797.1	P24277	reviewed	RECR_BACSU	Recombination protein RecR	recR recD recM BSU00210	Bacillus subtilis (strain 168)	198
CAB11798.1	P37533	reviewed	YAAL_BACSU	Uncharacterized protein YaaL	yaaL BSU00220	Bacillus subtilis (strain 168)	74
CAB11799.2	P24282	reviewed	BOFA_BACSU	Sigma-K factor-processing regulatory protein BofA (Bypass-of-forespore protein A)	bofA BSU00230	Bacillus subtilis (strain 168)	87
CAB11800.1	P37534	reviewed	GIN_BACSU	Anti-sigma-G factor Gin (Protein CsfB)	csfB gin yaaM BSU00240	Bacillus subtilis (strain 168)	64
CAB11801.1	P37467	reviewed	XPAC_BACSU	Protein XpaC	xpaC BSU00250	Bacillus subtilis (strain 168)	204
CAB11802.1	P37535	reviewed	YAAN_BACSU	Uncharacterized protein YaaN	yaaN BSU00260	Bacillus subtilis (strain 168)	386
CAB11803.1	P37536	reviewed	YAAO_BACSU	Uncharacterized protein YaaO	yaaO BSU00270	Bacillus subtilis (strain 168)	480
CAB11804.2	P37537	reviewed	KTHY_BACSU	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	tmk yaaP BSU00280	Bacillus subtilis (strain 168)	212
CAB11805.1	P37538	reviewed	DARA_BACSU	Cyclic di-AMP receptor A (c-di-AMP receptor A) (PII-like signal transduction protein DarA)	darA yaaQ BSU00290	Bacillus subtilis (strain 168)	109
CAB11806.1	P37539	reviewed	YAAR_BACSU	Uncharacterized protein YaaR	yaaR BSU00300	Bacillus subtilis (strain 168)	146
CAB11807.1	P37540	reviewed	HOLB_BACSU	DNA polymerase III subunit delta' (EC 2.7.7.7)	holB yaaS BSU00310	Bacillus subtilis (strain 168)	329
CAB11808.1	P37541	reviewed	YAAT_BACSU	Stage 0 sporulation protein YaaT	yaaT BSU00320	Bacillus subtilis (strain 168)	275
CAB11809.1	P37542	reviewed	YABA_BACSU	Initiation-control protein YabA	yabA BSU00330	Bacillus subtilis (strain 168)	119
CAB11810.1	P37543	reviewed	YABB_BACSU	Probable RNA methyltransferase YabB	yabB BSU00340	Bacillus subtilis (strain 168)	247
CAB11811.1	O31414	reviewed	YAZA_BACSU	UPF0213 protein YazA	yazA BSU00350	Bacillus subtilis (strain 168)	99
CAB11812.1	P37544	reviewed	RSMI_BACSU	Ribosomal RNA small subunit methyltransferase I (EC 2.1.1.198) (16S rRNA 2'-O-ribose C1402 methyltransferase) (rRNA (cytidine-2'-O-)-methyltransferase RsmI)	rsmI yabC BSU00360	Bacillus subtilis (strain 168)	292
CAB11813.1	P08874	reviewed	ABRB_BACSU	Transition state regulatory protein AbrB	abrB cpsX BSU00370	Bacillus subtilis (strain 168)	96
CAB11814.1	P37465	reviewed	SYM_BACSU	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG metS BSU00380	Bacillus subtilis (strain 168)	664
CAB11815.1	P37545	reviewed	YABD_BACSU	Uncharacterized metal-dependent hydrolase YabD (EC 3.1.-.-)	yabD BSU00390	Bacillus subtilis (strain 168)	255
CAB11816.1	P37546	reviewed	YABE_BACSU	Putative cell wall shaping protein YabE	yabE BSU00400	Bacillus subtilis (strain 168)	407
CAB11817.1	P37547	reviewed	RNM5_BACSU	Ribonuclease M5 (EC 3.1.26.8) (RNase M5) (Ribosomal RNA terminal maturase M5)	rnmV yabF BSU00410	Bacillus subtilis (strain 168)	186
CAB11818.1	P37468	reviewed	RSMA_BACSU	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	rsmA ksgA BSU00420	Bacillus subtilis (strain 168)	292
CAB11819.1	P37548	reviewed	YABG_BACSU	Sporulation-specific protease YabG (EC 3.4.-.-)	yabG BSU00430	Bacillus subtilis (strain 168)	290
CAB11820.1	P37466	reviewed	VEG_BACSU	Protein Veg	veg BSU00440	Bacillus subtilis (strain 168)	86
CAB11821.1	P37549	reviewed	SSPF_BACSU	Protein SspF	sspF BSU00450	Bacillus subtilis (strain 168)	61
CAB11822.1	P37550	reviewed	ISPE_BACSU	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)	ispE ipk yabH BSU00460	Bacillus subtilis (strain 168)	289
CAB11823.1	P37551	reviewed	PURR_BACSU	Pur operon repressor	purR yabI BSU00470	Bacillus subtilis (strain 168)	285
CAB11824.1	P37552	reviewed	RIDA_BACSU	2-iminobutanoate/2-iminopropanoate deaminase (EC 3.5.99.10) (Enamine/imine deaminase)	ridA yabJ BSU00480	Bacillus subtilis (strain 168)	125
CAB11825.1	P28015	reviewed	SP5G_BACSU	Putative septation protein SpoVG (Stage V sporulation protein G)	spoVG BSU00490	Bacillus subtilis (strain 168)	97
CAB11826.1	P14192	reviewed	GLMU_BACSU	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU gcaD tms tms-26 BSU00500	Bacillus subtilis (strain 168)	456
CAB11827.1	P14193	reviewed	KPRS_BACSU	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate synthase) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PPRibP synthase) (PRPP synthase) (PRPPase)	prs BSU00510	Bacillus subtilis (strain 168)	317
CAB11828.1	P14194	reviewed	CTC_BACSU	General stress protein Ctc (CTC) (50S ribosomal protein L25) (Large ribosomal subunit protein bL25)	ctc BSU00520	Bacillus subtilis (strain 168)	204
CAB11829.1	P37470	reviewed	PTH_BACSU	Peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29) (Stage V sporulation protein C)	spoVC pth BSU00530	Bacillus subtilis (strain 168)	188
CAB11830.1	P37553	reviewed	FIN_BACSU	Anti-sigma-F factor Fin (Suppressor of recU and recB SubA)	fin subA yabK BSU00540	Bacillus subtilis (strain 168)	76
CAB11831.1	P37474	reviewed	MFD_BACSU	Transcription-repair-coupling factor (TRCF) (EC 3.6.4.-)	mfd BSU00550	Bacillus subtilis (strain 168)	1177
CAB11832.1	P37554	reviewed	SPOVT_BACSU	Stage V sporulation protein T	spoVT yabL BSU00560	Bacillus subtilis (strain 168)	178
CAB11833.1	P37555	reviewed	YABM_BACSU	Uncharacterized membrane protein YabM	yabM BSU00570	Bacillus subtilis (strain 168)	532
CAB11834.1	P37556	reviewed	YABN_BACSU	Uncharacterized protein YabN	yabN BSU00580	Bacillus subtilis (strain 168)	489
CAB11835.1	P37557	reviewed	YABO_BACSU	Uncharacterized protein YabO	yabO BSU00590	Bacillus subtilis (strain 168)	86
CAB11836.1	P37558	reviewed	YABP_BACSU	Spore protein YabP	yabP BSU00600	Bacillus subtilis (strain 168)	100
CAB11837.1	P37559	reviewed	YABQ_BACSU	Spore protein YabQ	yabQ BSU00610	Bacillus subtilis (strain 168)	211
CAB11838.1	P37471	reviewed	DIVIC_BACSU	Cell division protein DivIC	divIC divA BSU00620	Bacillus subtilis (strain 168)	125
CAB11839.1	P37560	reviewed	YABR_BACSU	Uncharacterized protein YabR	yabR BSU00630	Bacillus subtilis (strain 168)	128
CAB11840.1	P37475	reviewed	SP2E_BACSU	Stage II sporulation protein E (EC 3.1.3.16) (Stage II sporulation protein H)	spoIIE spoIIH BSU00640	Bacillus subtilis (strain 168)	827
CAB11841.1	P37561	reviewed	YABS_BACSU	Uncharacterized protein YabS	yabS BSU00650	Bacillus subtilis (strain 168)	245
CAB11842.2	P37562	reviewed	PKN1_BACSU	Probable serine/threonine-protein kinase YabT (EC 2.7.11.1)	yabT BSU00660	Bacillus subtilis (strain 168)	338
CAB11843.1	P37563	reviewed	TILS_BACSU	tRNA(Ile)-lysidine synthase (EC 6.3.4.19) (tRNA(Ile)-2-lysyl-cytidine synthase) (tRNA(Ile)-lysidine synthetase)	tilS yacA BSU00670	Bacillus subtilis (strain 168)	472
CAB11844.1	P37472	reviewed	HGPRT_BACSU	Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8)	hprT hpt BSU00680	Bacillus subtilis (strain 168)	180
CAB11845.1	P37476	reviewed	FTSH_BACSU	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-) (Cell division protease FtsH)	ftsH BSU00690	Bacillus subtilis (strain 168)	637
CAB11846.2	P37564	reviewed	COAX_BACSU	Type III pantothenate kinase (EC 2.7.1.33) (PanK-III) (Pantothenic acid kinase)	coaX coaA yacB BSU00700	Bacillus subtilis (strain 168)	258
CAB11847.1	P37565	reviewed	HSLO_BACSU	33 kDa chaperonin (Heat shock protein 33 homolog) (HSP33)	hslO yacC BSU00710	Bacillus subtilis (strain 168)	291
CAB11848.1	P37566	reviewed	YACD_BACSU	Putative peptidyl-prolyl cis-trans isomerase YacD (PPIase YacD) (EC 5.2.1.8) (Rotamase YacD)	yacD BSU00720	Bacillus subtilis (strain 168)	297
CAB11849.1	P37887	reviewed	CYSK_BACSU	Cysteine synthase (CSase) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase) (OAS-TL) (Superoxide-inducible protein 11) (SOI11)	cysK BSU00730	Bacillus subtilis (strain 168)	308
CAB11850.1	P28820	reviewed	PABB_BACSU	Aminodeoxychorismate synthase component 1 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 1)	pabB pab BSU00740	Bacillus subtilis (strain 168)	470
CAB11851.1	P28819	reviewed	PABA_BACSU	Aminodeoxychorismate/anthranilate synthase component 2 (ADC synthase) (ADCS) (EC 2.6.1.85) (EC 4.1.3.27) (4-amino-4-deoxychorismate synthase component 2) (Aminodeoxychorismate synthase, glutamine amidotransferase component)	pabA trpG BSU00750	Bacillus subtilis (strain 168)	194
CAB11852.1	P28821	reviewed	PABC_BACSU	Aminodeoxychorismate lyase (EC 4.1.3.38) (4-amino-4-deoxychorismate lyase) (ADC lyase) (ADCL)	pabC BSU00760	Bacillus subtilis (strain 168)	293
CAB11853.1	P28822	reviewed	DHPS_BACSU	Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)	sul BSU00770	Bacillus subtilis (strain 168)	285
CAB11854.1	P28823	reviewed	FOLB_BACSU	Dihydroneopterin aldolase (DHNA) (EC 4.1.2.25) (7,8-dihydroneopterin aldolase)	folB folA yacE BSU00780	Bacillus subtilis (strain 168)	120
CAB11855.1	P29252	reviewed	HPPK_BACSU	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3) (6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase) (PPPK) (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase) (HPPK)	folK BSU00790	Bacillus subtilis (strain 168)	167
CAB11856.1	O31417	reviewed	YAZB_BACSU	Uncharacterized HTH-type transcriptional regulator YazB	yazB BSU00800	Bacillus subtilis (strain 168)	69
CAB11857.1	P37567	reviewed	DUS1_BACSU	Probable tRNA-dihydrouridine synthase 1 (EC 1.3.1.-)	dus1 yacF BSU00810	Bacillus subtilis (strain 168)	333
CAB11858.1	P37477	reviewed	SYK_BACSU	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	lysS BSU00820	Bacillus subtilis (strain 168)	499
CAB11859.1	P37568	reviewed	CTSR_BACSU	Transcriptional regulator CtsR (Class three stress gene repressor)	ctsR yacG BSU00830	Bacillus subtilis (strain 168)	154
CAB11860.1	P37569	reviewed	MCSA_BACSU	Protein-arginine kinase activator protein	mcsA yacH BSU00840	Bacillus subtilis (strain 168)	185
CAB11861.1	P37570	reviewed	MCSB_BACSU	Protein-arginine kinase (EC 2.7.14.1)	mcsB yacI BSU00850	Bacillus subtilis (strain 168)	363
CAB11862.1	P37571	reviewed	CLPC_BACSU	Negative regulator of genetic competence ClpC/MecB	clpC mecB BSU00860	Bacillus subtilis (strain 168)	810
CAB11863.1	P37572	reviewed	RADA_BACSU	DNA repair protein RadA (EC 3.6.4.-) (Branch migration protein RadA) (DNA repair protein Sms)	radA orf5 sms yacJ BSU00870	Bacillus subtilis (strain 168)	458
